"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","perplexity"
"0","20","beam","1","1","Answer the question: who sang theme song for license to kill?","1","60","73.8714370727539"
"1","20","beam","1","1","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","1","23","38.372982025146484"
"2","20","beam","1","1","Answer the question: who wore number 7 for the green bay packers?","1","93","88.17818450927734"
"3","20","beam","1","1","Answer the question: where does patience is a virtue come from?","1","74","195.21365356445312"
"4","20","beam","1","1","Answer the question: who wrote ain't living long like this?","1","38","236.10301208496094"
"5","20","beam","1","1","Answer the question: who played the mom on what's eating gilbert grape?","1","25","203.33447265625"
"6","20","beam","1","1","Answer the question: where do secondary xylem and phloem cells arise from?","1","92","42.6644172668457"
"7","20","beam","1","1","Answer the question: who added a press room to the white house?","1","52","267.60430908203125"
"8","20","beam","1","1","Answer the question: nodding your head no is an example of?","1","91","100.18695831298828"
"9","20","beam","1","1","Answer the question: who sings the theme tune to mum on bbc2?","1","33","493.144775390625"
"10","20","beam","1","1","Answer the question: who played the detective in little boy blue?","1","68","202.17044067382812"
"11","20","beam","1","1","Answer the question: when was the first horrid henry book written?","1","31","140.5184326171875"
"12","20","beam","1","1","Answer the question: who plays grace in the secret life of the american teenager?","1","81","112.51374816894531"
"13","20","beam","1","1","Answer the question: who has won the canada open women's doubles?","1","63","53.756526947021484"
"14","20","beam","1","1","Answer the question: where does the last name waller come from?","1","45","55.806278228759766"
"15","20","beam","1","1","Answer the question: who wrote how do you do it by gerry and the pacemakers?","1","53","42.722232818603516"
"16","20","beam","1","1","Answer the question: what type of reproduction do whiptail lizards use?","1","67","112.56558227539062"
"17","20","beam","1","1","Answer the question: who sings i don't want to be lonely?","1","78","53.271392822265625"
"18","20","beam","1","1","Answer the question: who wrote song what a friend we have in jesus?","1","27","68.42681121826172"
"19","20","beam","1","1","Answer the question: who is the original singer of just when i needed you most?","1","39","61.58994674682617"
"20","20","beam","1","1","Answer the question: what allows chyme to enter the small intestine?","1","69","89.3201904296875"
"21","20","beam","1","1","Answer the question: where would the group bacteroids likely be found?","1","42","434.8489990234375"
"22","20","beam","1","1","Answer the question: where does the last name andersen originate from?","1","66","112.1638412475586"
"23","20","beam","1","1","Answer the question: how long did the democrats control the house and senate?","1","9","70.26554870605469"
"24","20","beam","1","1","Answer the question: who sang in the movie i walk the line?","1","26","389.8362731933594"
