"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","perplexity"
"0","20","beam","1","5","Answer the question: who sang theme song for license to kill?","1","60","266.0171813964844"
"1","20","beam","1","5","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","1","23","57.95979690551758"
"2","20","beam","1","5","Answer the question: who wore number 7 for the green bay packers?","1","93","142.62542724609375"
"3","20","beam","1","5","Answer the question: where does patience is a virtue come from?","1","74","39.09368896484375"
"4","20","beam","1","5","Answer the question: who wrote ain't living long like this?","1","38","50.701053619384766"
"5","20","beam","1","5","Answer the question: who played the mom on what's eating gilbert grape?","1","25","115.47647857666016"
"6","20","beam","1","5","Answer the question: where do secondary xylem and phloem cells arise from?","1","92","38.697235107421875"
"7","20","beam","1","5","Answer the question: who added a press room to the white house?","1","52","204.13340759277344"
"8","20","beam","1","5","Answer the question: nodding your head no is an example of?","1","91","110.35021209716797"
"9","20","beam","1","5","Answer the question: who sings the theme tune to mum on bbc2?","1","33","709.3812255859375"
"10","20","beam","1","5","Answer the question: who played the detective in little boy blue?","1","68","327.8476867675781"
"11","20","beam","1","5","Answer the question: when was the first horrid henry book written?","1","31","40.72963333129883"
"12","20","beam","1","5","Answer the question: who plays grace in the secret life of the american teenager?","1","81","52.76886749267578"
"13","20","beam","1","5","Answer the question: who has won the canada open women's doubles?","1","63","70.11112976074219"
"14","20","beam","1","5","Answer the question: where does the last name waller come from?","1","45","34.46933364868164"
"15","20","beam","1","5","Answer the question: who wrote how do you do it by gerry and the pacemakers?","1","53","29.394529342651367"
"16","20","beam","1","5","Answer the question: what type of reproduction do whiptail lizards use?","1","67","97.53294372558594"
"17","20","beam","1","5","Answer the question: who sings i don't want to be lonely?","1","78","71.8866958618164"
"18","20","beam","1","5","Answer the question: who wrote song what a friend we have in jesus?","1","27","27.053638458251953"
"19","20","beam","1","5","Answer the question: who is the original singer of just when i needed you most?","1","39","58.441375732421875"
"20","20","beam","1","5","Answer the question: what allows chyme to enter the small intestine?","1","69","184.69100952148438"
"21","20","beam","1","5","Answer the question: where would the group bacteroids likely be found?","1","42","303.98028564453125"
