"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","predicted","gold","logits","bleu","rouge","correct"
"0","15","sampling_top_p","5","20",". Why did Ronnie and Mom go to the Davis house after being kicked out?. Answer one of the following options: 1) They needed to hide from the authorities 2) They new that they would be able to read at the Davis house 3) Mr. Davis had offered Ronnie a place to stay whenever 4) Mr. Davis and his son had been evicted and the house was empty. Answer: ","83","240,93,296,155,102","1) They needed to hide from the authorities 
2) They","2","16.698379516601562,25.41733169555664,43.046104431152344,48.8223876953125,35.92409133911133,41.18831253051758,31.807653427124023,36.689781188964844,44.27159881591797,30.5458984375,48.53650665283203,19.66977882385254,24.08981704711914,33.4440803527832,51.51579284667969","0","0.18181818181818182","0"
"1","15","sampling_top_p","5","20",". What is the author’s thesis?. Answer one of the following options: 1) That even Keynesian economists are misinterpreting some of the intentions of Keynes’ original theories 2) There are so many unknowns in Keynes’ theories that it has come time to develop a new set of economic theories separate from his 3) Keynesian economists are more united than divided 4) It’s not possible to know what Keynes’ true intentions were. Answer: ","99","240,93,296,155,102","3) Keynesian economists are more united than divided. 
","1","15.833955764770508,32.2869873046875,43.45272445678711,54.80940246582031,29.48134994506836,27.929916381835938,37.03479766845703,45.44072723388672,43.28910446166992,25.746978759765625,37.37104415893555,24.543865203857422,49.966102600097656,45.499908447265625,21.772476196289062","0","0","0"
"2","15","sampling_top_p","5","20",". What does the author credit the recent dramatic change in politics to? . Answer one of the following options: 1) The internet as a political tool 2) Geopolitical tension 3) Government dysfunction 4) The Democratic Party. Answer: ","49","240,93,296,155,102","1) The internet as a political tool

The author credits the","1","14.898565292358398,27.621408462524414,43.20097351074219,49.118064880371094,43.91697692871094,44.49839401245117,52.29155731201172,32.437931060791016,31.203433990478516,44.08182907104492,23.158727645874023,25.064132690429688,55.90351104736328,49.7088623046875,56.187686920166016","0","0.16666666666666669","0"
"3","15","sampling_top_p","5","20",". What is the author's overall feeling towards modern dentistry as a whole in this passage?. Answer one of the following options: 1) Apathetic; the author reports the developments in the dental industry in an unbiased manor 2) Negative; the author believes that all of the advancements of modern dentistry are an unnecessary scam  3) Positive; the author implies that modern dentistry has only improved the dental hygiene of the public 4) Mixed; the author acknowledges both positives and negative aspects of modern dentistry. Answer: ","107","240,93,296,155,102","3) Positive; the author implies that modern dentistry has only improved","4","16.74069595336914,31.098129272460938,39.11754608154297,54.73474884033203,51.78703308105469,48.86509704589844,50.26667404174805,31.98750877380371,47.14813995361328,36.150333404541016,31.282333374023438,32.759681701660156,38.861900329589844,39.531795501708984,35.85342788696289","0","0","0"
"4","15","sampling_top_p","5","20",". What level of depth does the author provide on the subjects they use to make their case?. Answer one of the following options: 1) Language is really the only thing covered in any depth 2) A broad, but not very deep assessment 3) They provide the reader with deeper arguments about the monetary system and striking tendencies than anything else 4) They provide deep, explanatory statistics to most arguments. Answer: ","82","240,93,296,155,102","4) They provide deep, explanatory statistics to most arguments. 
","2","17.33667755126953,30.852046966552734,52.10358810424805,55.81578826904297,48.05615234375,48.33438491821289,44.91748809814453,26.53452491760254,37.267913818359375,46.343528747558594,36.07892990112305,34.32545471191406,62.33609390258789,47.3082389831543,23.77517318725586","0","0","0"
"5","15","sampling_top_p","5","20",". Why was a Dr. able to examine Parks without being suspicious?. Answer one of the following options: 1) The Dr. was not trained very well 2) Parks used a special technique to confuse and manipulate the Dr. 3) The anatomy of the beings on Parks' planet was almost identical to humans 4) Parks had too strong of a disguise. Answer: ","74","209,135,272,125,325","4) Parks had too strong of a disguise. 
This is","3","17.510969161987305,34.311805725097656,48.30907440185547,58.744911193847656,36.316993713378906,37.219505310058594,32.25434112548828,40.8863410949707,38.58320617675781,27.76426124572754,47.742401123046875,41.02397155761719,22.512310028076172,28.26416015625,32.63458251953125","0","0","0"
"6","15","sampling_top_p","5","20",". What role does technology play in Tannen’s views?. Answer one of the following options: 1) It allows the facts to surface and be shared 2) It allows the public to communicate clearly and carefully with each other 3) It can spread misinformation, and enable ready critiquing of each other 4) It supports the first amendment of which there is no criticism. Answer: ","80","209,135,272,125,325","4) It supports the first amendment of which there is no criticism.","3","16.460933685302734,35.9363899230957,47.04637908935547,55.4022216796875,51.35588836669922,51.984676361083984,43.65484619140625,38.9661979675293,54.58489990234375,42.48860168457031,50.471595764160156,49.25143814086914,46.04226303100586,28.50840187072754,57.91525650024414","0","0","0"
"7","15","sampling_top_p","5","20",". What does the author think that social media has the power to amplify?. Answer one of the following options: 1) Both Positive and Negative Social Behaviors 2) Negative Social Interactions 3) Antisocial Behaviors 4) Positive Altruistic Behavior. Answer: ","57","209,135,272,125,325","4) Positive Altruistic Behavior. The author believes that social media","1","15.745366096496582,29.93974494934082,46.67641830444336,65.0850830078125,63.18105697631836,31.06205940246582,39.903526306152344,53.54163360595703,50.595741271972656,51.823829650878906,67.61870574951172,47.94734573364258,63.2332649230957,59.62314224243164,54.36441421508789","0","0","0"
"8","15","sampling_top_p","5","20",". What does the author suggest are some traits Said possesses?. Answer one of the following options: 1) Boldness, confidence 2) Vanity, disorganization 3) Inventiveness, shyness 4) Charisma, people-pleasing. Answer: ","53","209,135,272,125,325","1) Boldness, confidence. The author suggests that Said possesses bold","1","15.443801879882812,27.13136863708496,46.78218078613281,58.80553436279297,39.0949821472168,57.606895446777344,46.6764030456543,47.36851501464844,52.3924446105957,63.33807373046875,42.232540130615234,66.6242904663086,60.30608367919922,49.347103118896484,56.05828857421875","0","0.18181818181818182","0"
"9","15","sampling_top_p","5","20",". What is a message of this article?. Answer one of the following options: 1) Technology will continue to change 2) It is important to understand the history of trains 3) Birmingham is a progressive city 4) Maglev was a failure. Answer: ","52","209,135,272,125,325","4) Maglev was a failure.

. What is the","1","17.27202033996582,28.18353843688965,39.8357048034668,57.82038497924805,36.19304656982422,29.80147933959961,42.77206039428711,38.63519287109375,53.2988395690918,36.56793975830078,22.057130813598633,19.348878860473633,40.51889419555664,39.716346740722656,42.894588470458984","0","0","0"
