"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","perplexity"
"rag","240","15","5","10","beam","facebook/contriever",". Question: Why did Ronnie and Mom go to the Davis house after being kicked out? 1) They needed to hide from the authorities 2) They new that they would be able to read at the Davis house 3) Mr. Davis had offered Ronnie a place to stay whenever 4) Mr. Davis and his son had been evicted and the house was empty. Answer: ","872","235_13,240_13,235_51,240_51,235_14,240_14,235_11,240_11,235_19,240_19","0.44322478771209717,0.44322478771209717,0.4475199580192566,0.4475199580192566,0.5026676654815674,0.5026676654815674,0.5166783928871155,0.5166783928871155,0.5215204954147339,0.5215204954147339","5.85980224609375"
"rag","93","15","5","10","beam","facebook/contriever",". Question: What is the author’s thesis? 1) That even Keynesian economists are misinterpreting some of the intentions of Keynes’ original theories 2) There are so many unknowns in Keynes’ theories that it has come time to develop a new set of economic theories separate from his 3) Keynesian economists are more united than divided 4) It’s not possible to know what Keynes’ true intentions were. Answer: ","809","93_4,93_1,93_9,93_14,93_8,93_32,93_11,93_5,93_24,93_21","0.46049588918685913,0.49629926681518555,0.5212476253509521,0.5315731763839722,0.5353220701217651,0.5419899821281433,0.5444366335868835,0.5489543676376343,0.5536730885505676,0.5709789395332336","15.047938346862793"
"rag","296","15","5","10","beam","facebook/contriever",". Question: What does the author credit the recent dramatic change in politics to?  1) The internet as a political tool 2) Geopolitical tension 3) Government dysfunction 4) The Democratic Party. Answer: ","693","296_19,296_1,296_2,296_12,296_20,296_23,296_22,296_3,296_35,296_7","0.5203071236610413,0.5718734264373779,0.5720698237419128,0.588547945022583,0.6164083480834961,0.6185691356658936,0.6190601587295532,0.6209172606468201,0.6233717203140259,0.62935471534729","19.1833438873291"
"rag","155","15","5","10","beam","facebook/contriever",". Question: What is the author's overall feeling towards modern dentistry as a whole in this passage? 1) Apathetic; the author reports the developments in the dental industry in an unbiased manor 2) Negative; the author believes that all of the advancements of modern dentistry are an unnecessary scam  3) Positive; the author implies that modern dentistry has only improved the dental hygiene of the public 4) Mixed; the author acknowledges both positives and negative aspects of modern dentistry. Answer: ","945","155_24,155_12,155_10,155_22,155_32,155_17,155_19,155_5,155_29,155_34","0.5383203029632568,0.5430186986923218,0.5584430694580078,0.5735217332839966,0.5783411264419556,0.5823030471801758,0.5911991000175476,0.5936813354492188,0.5937433242797852,0.5978497862815857","19.30901336669922"
"rag","102","15","5","10","beam","facebook/contriever",". Question: What level of depth does the author provide on the subjects they use to make their case? 1) Language is really the only thing covered in any depth 2) A broad, but not very deep assessment 3) They provide the reader with deeper arguments about the monetary system and striking tendencies than anything else 4) They provide deep, explanatory statistics to most arguments. Answer: ","792","93_14,93_24,93_4,93_5,93_9,93_1,93_11,93_8,93_21,93_32","0.5922878384590149,0.5924389362335205,0.5971035957336426,0.6060839891433716,0.6177515983581543,0.626396656036377,0.6340794563293457,0.6354914903640747,0.642640233039856,0.6449510455131531","18.08278465270996"
"rag","209","15","5","10","beam","facebook/contriever",". Question: Why was a Dr. able to examine Parks without being suspicious? 1) The Dr. was not trained very well 2) Parks used a special technique to confuse and manipulate the Dr. 3) The anatomy of the beings on Parks' planet was almost identical to humans 4) Parks had too strong of a disguise. Answer: ","971","209_23,209_21,209_6,209_37,209_30,209_22,209_7,209_13,209_11,209_36","0.5686858892440796,0.5903757810592651,0.5953518748283386,0.6134201884269714,0.6173906326293945,0.6218760013580322,0.6256669759750366,0.6526371836662292,0.6637935638427734,0.6718635559082031","19.18383026123047"
"rag","135","15","5","10","beam","facebook/contriever",". Question: What role does technology play in Tannen’s views? 1) It allows the facts to surface and be shared 2) It allows the public to communicate clearly and carefully with each other 3) It can spread misinformation, and enable ready critiquing of each other 4) It supports the first amendment of which there is no criticism. Answer: ","818","135_35,135_24,135_34,135_3,135_17,135_19,135_6,135_32,135_11,135_5","0.3903452157974243,0.4666826128959656,0.5120676755905151,0.524559736251831,0.5393176078796387,0.5402031540870667,0.5474746227264404,0.55907142162323,0.5654263496398926,0.5660024285316467","27.557247161865234"
"rag","272","15","5","10","beam","facebook/contriever",". Question: What does the author think that social media has the power to amplify? 1) Both Positive and Negative Social Behaviors 2) Negative Social Interactions 3) Antisocial Behaviors 4) Positive Altruistic Behavior. Answer: ","939","272_12,272_5,272_3,272_13,272_28,272_21,272_2,272_4,272_14,272_10","0.5060379505157471,0.5751810073852539,0.5885967016220093,0.5920698642730713,0.6186357140541077,0.6198617815971375,0.6213648319244385,0.6292952299118042,0.6304569244384766,0.6359177231788635","24.11991310119629"
"rag","125","15","5","10","beam","facebook/contriever",". Question: What does the author suggest are some traits Said possesses? 1) Boldness, confidence 2) Vanity, disorganization 3) Inventiveness, shyness 4) Charisma, people-pleasing. Answer: ","682","125_12,135_2,135_9,135_35,135_6,125_23,135_8,135_7,125_34,272_4","0.6441916227340698,0.6514665484428406,0.6598280668258667,0.6622218489646912,0.6647688150405884,0.6665614247322083,0.6674046516418457,0.6725195646286011,0.6748172640800476,0.6798098087310791","31.16364288330078"
"rag","325","15","5","10","beam","facebook/contriever",". Question: What is a message of this article? 1) Technology will continue to change 2) It is important to understand the history of trains 3) Birmingham is a progressive city 4) Maglev was a failure. Answer: ","722","325_17,325_16,325_13,325_33,325_6,325_24,325_14,325_37,325_10,325_38","0.5026753544807434,0.5122205018997192,0.525299072265625,0.5332363843917847,0.5438069105148315,0.5538584589958191,0.5615109801292419,0.5644599199295044,0.5667953491210938,0.5696625709533691","28.954435348510742"
