"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","predicted","gold","logits","bleu","rouge","correct"
"0","20","beam","5","15",". Why did Ronnie and Mom go to the Davis house after being kicked out?. Answer one of the following options: 1) They needed to hide from the authorities 2) They new that they would be able to read at the Davis house 3) Mr. Davis had offered Ronnie a place to stay whenever 4) Mr. Davis and his son had been evicted and the house was empty. Answer: ","83","240,93,296,155,102","3)

The front door of the Davis house opened and shut noisily.","2","19.212926864624023,26.38623046875,46.669857025146484,42.844093322753906,17.77452278137207,17.62278175354004,31.295310974121094,46.338539123535156,35.538124084472656,48.04258346557617,50.739013671875,47.464393615722656,37.72697448730469,34.339637756347656,31.708345413208008,26.58651351928711,30.67839241027832,28.750045776367188,39.975677490234375","0","0","0"
"1","20","beam","5","15",". What is the author’s thesis?. Answer one of the following options: 1) That even Keynesian economists are misinterpreting some of the intentions of Keynes’ original theories 2) There are so many unknowns in Keynes’ theories that it has come time to develop a new set of economic theories separate from his 3) Keynesian economists are more united than divided 4) It’s not possible to know what Keynes’ true intentions were. Answer: ","99","240,93,296,155,102","1) The U.","1","17.72709846496582,26.126014709472656,40.69610595703125,34.49860382080078,38.68922424316406,32.137943267822266","0","0.5","0"
"2","20","beam","5","15",". What does the author credit the recent dramatic change in politics to? . Answer one of the following options: 1) The internet as a political tool 2) Geopolitical tension 3) Government dysfunction 4) The Democratic Party. Answer: ","49","240,93,296,155,102","4) The Democratic Party.","1","18.31045913696289,23.071266174316406,43.42544174194336,43.18582534790039,38.355796813964844,47.22506332397461,44.52036666870117","0","0","0"
"3","20","beam","5","15",". What is the author's overall feeling towards modern dentistry as a whole in this passage?. Answer one of the following options: 1) Apathetic; the author reports the developments in the dental industry in an unbiased manor 2) Negative; the author believes that all of the advancements of modern dentistry are an unnecessary scam  3) Positive; the author implies that modern dentistry has only improved the dental hygiene of the public 4) Mixed; the author acknowledges both positives and negative aspects of modern dentistry. Answer: ","107","240,93,296,155,102","4) Mixed

The EU has recently passed a law that will make it possible to track","4","18.042213439941406,28.1638240814209,36.8993034362793,48.299041748046875,38.34291076660156,18.33530044555664,16.8409366607666,27.818828582763672,24.118179321289062,52.522762298583984,54.98258590698242,39.691123962402344,41.56686019897461,46.41060256958008,41.20128631591797,40.84809875488281,30.33136749267578,41.09352111816406,54.98406982421875,36.11936569213867","0","0.11764705882352941","0"
"4","20","beam","5","15",". What level of depth does the author provide on the subjects they use to make their case?. Answer one of the following options: 1) Language is really the only thing covered in any depth 2) A broad, but not very deep assessment 3) They provide the reader with deeper arguments about the monetary system and striking tendencies than anything else 4) They provide deep, explanatory statistics to most arguments. Answer: ","82","240,93,296,155,102","4) They provide deep, explanatory statistics to most arguments.","2","19.165830612182617,29.101425170898438,46.05274200439453,41.94087600708008,53.17884063720703,50.498046875,37.0480842590332,27.55195426940918,52.378543853759766,43.766658782958984,45.23285675048828,50.254207611083984,50.390098571777344","0","0","0"
"5","20","beam","5","15",". Why was a Dr. able to examine Parks without being suspicious?. Answer one of the following options: 1) The Dr. was not trained very well 2) Parks used a special technique to confuse and manipulate the Dr. 3) The anatomy of the beings on Parks' planet was almost identical to humans 4) Parks had too strong of a disguise. Answer: ","74","209,135,272,125,325","1) The Dr.","3","19.633155822753906,27.74575424194336,44.839073181152344,35.03736877441406,40.27534103393555,61.06576156616211","0","0","0"
"6","20","beam","5","15",". What role does technology play in Tannen’s views?. Answer one of the following options: 1) It allows the facts to surface and be shared 2) It allows the public to communicate clearly and carefully with each other 3) It can spread misinformation, and enable ready critiquing of each other 4) It supports the first amendment of which there is no criticism. Answer: ","80","209,135,272,125,325","1)
2)
3)
5)
6)
7)
8","3","18.40614128112793,29.665517807006836,44.5010986328125,43.172672271728516,24.86312484741211,35.878787994384766,46.99333190917969,27.525667190551758,40.03526306152344,47.43741226196289,29.237709045410156,31.859203338623047,45.9544677734375,28.07145118713379,28.431753158569336,45.76320266723633,30.843713760375977,33.311580657958984,46.91514587402344,30.72614288330078","0","0.25","0"
"7","20","beam","5","15",". What does the author think that social media has the power to amplify?. Answer one of the following options: 1) Both Positive and Negative Social Behaviors 2) Negative Social Interactions 3) Antisocial Behaviors 4) Positive Altruistic Behavior. Answer: ","57","209,135,272,125,325","1) 2) 3) 4) 5) 6) 7) 8) 9) 10","1","20.761199951171875,28.33359146118164,48.68623352050781,43.47777557373047,38.62974548339844,43.0019416809082,43.14137268066406,33.372840881347656,48.31201934814453,38.05061340332031,44.20686721801758,30.141159057617188,41.19330596923828,31.279605865478516,41.6208610534668,34.5939826965332,42.01966094970703,35.697906494140625,49.23712158203125,36.13618850708008","0","0.18181818181818182","0"
"8","20","beam","5","15",". What does the author suggest are some traits Said possesses?. Answer one of the following options: 1) Boldness, confidence 2) Vanity, disorganization 3) Inventiveness, shyness 4) Charisma, people-pleasing. Answer: ","53","209,135,272,125,325","1) Vanity, disorganization 2) Confusion, indecisiveness 3) In","1","18.726102828979492,24.634807586669922,43.92558288574219,43.64253616333008,43.134212493896484,41.06437683105469,45.4245719909668,25.381948471069336,40.579627990722656,32.91992950439453,39.981834411621094,22.995439529418945,33.23859405517578,43.235816955566406,34.43217849731445,24.133548736572266,33.58466720581055,38.606910705566406,38.05364227294922,46.945438385009766","0","0.2222222222222222","0"
"9","20","beam","5","15",". What is a message of this article?. Answer one of the following options: 1) Technology will continue to change 2) It is important to understand the history of trains 3) Birmingham is a progressive city 4) Maglev was a failure. Answer: ","52","209,135,272,125,325","1) The history of trains 2) The history of trains 5) The history of trains 6","1","19.448387145996094,25.9122314453125,36.28751754760742,37.01634979248047,41.21110153198242,39.38169860839844,52.67896270751953,37.03451919555664,40.41664123535156,44.22028732299805,44.1027717590332,42.462703704833984,51.466915130615234,39.72554397583008,39.089359283447266,44.42913055419922,48.43949890136719,45.5628662109375,49.2678108215332,40.78058624267578","0","0.11764705882352941","0"
