"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","perplexity"
"rag","60","15","5","15","beam","facebook/contriever",". Question: who sang theme song for license to kill?","1366","60_1,60_2,60_12,60_3,60_4,60_11,60_13,60_5,60_9,60_6,60_8,60_7,90_14,7_15,60_14","0.5078861117362976,0.5602269172668457,0.5655557513237,0.5878167152404785,0.599281907081604,0.6097021102905273,0.6182764768600464,0.6292575001716614,0.6372916102409363,0.649518609046936,0.6645491123199463,0.6719953417778015,0.6951943635940552,0.7015502452850342,0.7035946846008301","9.553528785705566"
"rag","23","15","5","15","beam","facebook/contriever",". Question: a concave mirror can form a real image which is a copy of an object that forms?","1283","23_1,23_3,23_4,23_2,23_6,7_1,23_5,90_14,96_14,7_15,90_13,51_8,96_13,96_12,90_1","0.3963268995285034,0.4732421636581421,0.5207117795944214,0.5408961772918701,0.6757581830024719,0.6836379170417786,0.6898006200790405,0.7011966705322266,0.708853006362915,0.7235526442527771,0.7248769998550415,0.7349770069122314,0.740317165851593,0.754530131816864,0.7554001212120056","9.183524131774902"
"rag","93","15","5","15","beam","facebook/contriever",". Question: who wore number 7 for the green bay packers?","1433","93_5,93_1,93_4,93_6,93_8,93_7,93_14,93_13,93_2,93_3,93_10,93_11,93_9,51_8,51_9","0.4588027596473694,0.4635024070739746,0.46887385845184326,0.4795879125595093,0.49753648042678833,0.5095508098602295,0.5213409662246704,0.5221155881881714,0.5539335012435913,0.5769931077957153,0.60160893201828,0.6152958869934082,0.618651270866394,0.6472252011299133,0.6677156686782837","12.332314491271973"
"rag","74","15","5","15","beam","facebook/contriever",". Question: where does patience is a virtue come from?","1275","74_1,74_2,74_3,90_14,93_6,7_15,90_1,74_4,7_1,93_1,90_2,90_13,51_8,7_5,51_2","0.3330227732658386,0.5229206085205078,0.6557490825653076,0.716476559638977,0.7168135643005371,0.7276166677474976,0.7293022871017456,0.7368319034576416,0.7422153949737549,0.7454719543457031,0.7461462020874023,0.7505759000778198,0.7556253671646118,0.7633072137832642,0.7673290967941284","10.44279956817627"
"rag","38","15","5","15","beam","facebook/contriever",". Question: who wrote ain't living long like this?","1451","38_1,38_3,38_13,38_2,74_1,38_6,38_9,38_17,38_5,38_16,38_7,38_10,38_15,38_14,38_18","0.5749720335006714,0.5904918313026428,0.5963698625564575,0.6122269630432129,0.6215665340423584,0.6256915330886841,0.6308534145355225,0.6347782611846924,0.6401337385177612,0.6483625173568726,0.6537107229232788,0.6623618006706238,0.6733971834182739,0.6869833469390869,0.6888036727905273","9.63731861114502"
"rag","25","15","5","15","beam","facebook/contriever",". Question: who played the mom on what's eating gilbert grape?","1397","25_10,25_9,25_11,25_3,25_7,38_18,25_2,25_4,25_14,38_6,74_1,38_16,38_15,38_5,38_9","0.5334901213645935,0.5598495006561279,0.5940958857536316,0.6193806529045105,0.6236411333084106,0.6452365517616272,0.6560710668563843,0.6612027883529663,0.6617773771286011,0.6781895756721497,0.6830061674118042,0.6847889423370361,0.6880179643630981,0.6883066892623901,0.6941751837730408","10.584702491760254"
"rag","92","15","5","15","beam","facebook/contriever",". Question: where do secondary xylem and phloem cells arise from?","1517","92_7,92_1,92_4,92_5,92_3,92_10,92_6,92_18,92_11,92_8,92_9,92_13,92_12,92_17,92_14","0.4565401077270508,0.4566715359687805,0.4641250967979431,0.4678763151168823,0.4685034155845642,0.49392855167388916,0.500443696975708,0.5035134553909302,0.510047197341919,0.5244178175926208,0.5377814769744873,0.5389455556869507,0.5401691198348999,0.5451066493988037,0.5652851462364197","15.140061378479004"
"rag","52","15","5","15","beam","facebook/contriever",". Question: who added a press room to the white house?","1514","52_2,52_4,52_3,52_1,52_9,52_11,52_17,52_14,52_6,52_7,52_5,52_10,52_12,52_13,52_15","0.4543302059173584,0.4589281678199768,0.45964574813842773,0.46533310413360596,0.49342775344848633,0.5206719636917114,0.5425366759300232,0.5585631132125854,0.5685129165649414,0.5695930123329163,0.5725103616714478,0.573887825012207,0.58640456199646,0.5948308706283569,0.6073334217071533","12.356995582580566"
"rag","91","15","5","15","beam","facebook/contriever",". Question: nodding your head no is an example of?","1389","91_7,91_8,91_3,91_2,91_5,91_4,91_1,91_6,91_10,91_9,52_18,52_9,91_15,52_12,92_14","0.48811882734298706,0.5517271757125854,0.5568265914916992,0.5612048506736755,0.5630749464035034,0.5879164338111877,0.5910865068435669,0.6228902339935303,0.6276301145553589,0.6523151397705078,0.7095564603805542,0.7316339015960693,0.7448432445526123,0.7478379011154175,0.7499659657478333","14.245848655700684"
"rag","33","15","5","15","beam","facebook/contriever",". Question: who sings the theme tune to mum on bbc2?","1375","33_13,33_15,33_14,33_16,33_1,33_8,33_12,33_3,52_18,33_2,33_4,33_6,33_10,33_17,91_15","0.48169928789138794,0.5547854900360107,0.5672863125801086,0.5814123153686523,0.619658350944519,0.6248454451560974,0.6388306617736816,0.6426813006401062,0.6512848138809204,0.6723804473876953,0.6848822832107544,0.6987370252609253,0.7027457356452942,0.707414984703064,0.7078628540039062","8.239983558654785"
"rag","68","15","5","15","beam","facebook/contriever",". Question: who played the detective in little boy blue?","1348","68_11,68_10,68_1,68_5,68_9,52_18,68_2,68_13,91_9,91_15,68_6,68_7,68_3,68_4,92_21","0.5461668968200684,0.5657381415367126,0.5674620270729065,0.5899876952171326,0.5987536311149597,0.6424490213394165,0.6643192768096924,0.6770910024642944,0.6916247606277466,0.70055091381073,0.7044637799263,0.7105908393859863,0.7215871810913086,0.7230224609375,0.7238085269927979","9.326593399047852"
"rag","31","15","5","15","beam","facebook/contriever",". Question: when was the first horrid henry book written?","1516","31_14,31_17,31_2,31_1,31_16,31_13,31_19,31_18,31_15,31_20,31_4,31_11,31_5,31_6,31_7","0.39870089292526245,0.4086969494819641,0.4286045432090759,0.43626970052719116,0.43685364723205566,0.4526256322860718,0.4589737057685852,0.4610942006111145,0.4753614068031311,0.4801176190376282,0.5318785309791565,0.5351152420043945,0.5425172448158264,0.5781131982803345,0.5786325931549072","9.829717636108398"
"rag","81","15","5","15","beam","facebook/contriever",". Question: who plays grace in the secret life of the american teenager?","1516","81_3,81_2,81_9,81_11,81_6,81_1,81_8,81_12,81_4,81_13,81_5,68_9,68_6,81_7,81_14","0.5210627317428589,0.5375758409500122,0.5426884889602661,0.5999739170074463,0.6151203513145447,0.639846920967102,0.6493061780929565,0.6598876714706421,0.661086916923523,0.6747184991836548,0.6826568841934204,0.6881062984466553,0.6888951659202576,0.6982444524765015,0.700101912021637","15.964296340942383"
"rag","63","15","5","15","beam","facebook/contriever",". Question: who has won the canada open women's doubles?","1425","63_1,63_2,63_24,63_23,63_4,63_16,63_25,81_1,81_15,63_18,63_20,81_8,92_15,63_8,81_10","0.5400531888008118,0.5548350214958191,0.5638060569763184,0.5721732378005981,0.6385299563407898,0.6529333591461182,0.6636308431625366,0.6748225688934326,0.6837807297706604,0.6954250931739807,0.6988081336021423,0.7055083513259888,0.7103660106658936,0.7114980220794678,0.71256023645401","26.813222885131836"
"rag","45","15","5","15","beam","facebook/contriever",". Question: where does the last name waller come from?","1354","45_10,45_1,45_11,45_5,45_3,45_8,45_9,45_7,45_2,45_6,45_4,68_13,63_25,91_15,92_21","0.4454770088195801,0.5078780651092529,0.5084515810012817,0.5192887187004089,0.5204659104347229,0.5283390283584595,0.5459389686584473,0.5598070621490479,0.5732895135879517,0.5766410827636719,0.5785007476806641,0.7146995067596436,0.7162458896636963,0.7174238562583923,0.7315595149993896","9.669975280761719"
"rag","53","15","5","15","beam","facebook/contriever",". Question: who wrote how do you do it by gerry and the pacemakers?","1330","53_2,53_11,53_10,53_5,53_1,53_6,53_9,53_8,53_7,53_13,53_3,53_4,63_25,68_13,45_10","0.4720127582550049,0.48421424627304077,0.5410223007202148,0.5589298009872437,0.5674939155578613,0.5965749025344849,0.6187161207199097,0.6496262550354004,0.6633275747299194,0.6974064707756042,0.7182559967041016,0.7279455661773682,0.732499361038208,0.7347680926322937,0.7365697026252747","10.119157791137695"
"rag","67","15","5","15","beam","facebook/contriever",". Question: what type of reproduction do whiptail lizards use?","1497","67_8,67_9,67_5,67_4,67_1,67_6,67_7,67_11,67_10,67_3,67_2,92_1,92_12,45_10,45_11","0.4429335594177246,0.4430082440376282,0.4446176290512085,0.44634515047073364,0.47589975595474243,0.48351848125457764,0.4952380657196045,0.51137375831604,0.5376347899436951,0.5822852849960327,0.5868244171142578,0.6919094324111938,0.6955631971359253,0.6972548365592957,0.7010699510574341","10.124255180358887"
"rag","78","15","5","15","beam","facebook/contriever",". Question: who sings i don't want to be lonely?","1322","78_1,78_3,78_11,78_2,78_10,78_9,78_12,78_8,67_13,63_25,78_13,78_7,78_6,78_5,45_10","0.5703463554382324,0.5893895626068115,0.5915008783340454,0.615708589553833,0.6334249377250671,0.6348727941513062,0.6549311876296997,0.6731380224227905,0.674402117729187,0.6836256980895996,0.7102935314178467,0.7154644727706909,0.7191597819328308,0.7228779792785645,0.7281240224838257","10.260863304138184"
"rag","27","15","5","15","beam","facebook/contriever",". Question: who wrote song what a friend we have in jesus?","1458","27_1,27_17,27_18,27_14,27_15,27_6,27_3,27_20,27_10,27_5,27_4,27_19,27_11,27_2,67_13","0.41471850872039795,0.47131824493408203,0.4833219647407532,0.5245888233184814,0.5536283254623413,0.5560498237609863,0.5676873922348022,0.58948814868927,0.607230007648468,0.6112926602363586,0.621819019317627,0.6281242370605469,0.644877016544342,0.6597241163253784,0.6656970977783203","15.552386283874512"
"rag","39","15","5","15","beam","facebook/contriever",". Question: who is the original singer of just when i needed you most?","1391","39_1,39_10,39_16,39_8,39_3,39_2,39_19,78_10,39_13,67_13,39_5,39_15,39_9,39_12,78_2","0.4886869192123413,0.5418868660926819,0.5733131170272827,0.5872860550880432,0.5893850922584534,0.5947912931442261,0.6052566766738892,0.6115091443061829,0.622888445854187,0.624634861946106,0.6278225183486938,0.6284687519073486,0.6475194692611694,0.6515635251998901,0.6658291816711426","11.388138771057129"
"rag","69","15","5","15","beam","facebook/contriever",". Question: what allows chyme to enter the small intestine?","1349","69_6,69_8,69_7,69_2,69_3,69_1,69_4,69_9,69_5,69_10,39_19,69_12,92_9,67_13,92_1","0.4046138525009155,0.4295269846916199,0.4344604015350342,0.4352511763572693,0.4438047409057617,0.4596768617630005,0.4787943363189697,0.5601692199707031,0.6156278252601624,0.6461454629898071,0.6655120849609375,0.6705619096755981,0.6737041473388672,0.6737055778503418,0.6760514974594116","9.824288368225098"
"rag","42","15","5","15","beam","facebook/contriever",". Question: where would the group bacteroids likely be found?","1513","42_1,42_11,42_20,42_7,42_4,42_8,42_9,42_2,42_12,42_16,42_14,42_3,42_5,42_6,42_10","0.5250422954559326,0.5332707166671753,0.5460397005081177,0.5513339042663574,0.5516133308410645,0.558502197265625,0.5664860606193542,0.5719108581542969,0.5878906846046448,0.5931653380393982,0.5983239412307739,0.5999056100845337,0.605277419090271,0.6073464155197144,0.6080499887466431","10.74457836151123"
