"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","predicted","gold","logits","bleu","rouge","correct"
"rag","60","10","10","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who played big enos in smokey and the bandit? Answer: ","522","60_3,60_13,60_12,60_9,60_14","0.22910082340240479,0.24444139003753662,0.3376430869102478,0.36435842514038086,0.3653984069824219","  Pat  McCormick  (  ","Pat McCormick (,Pat McCormick (,Pat McCormick (,Pat McCormick (","14.924620628356934,46.880577087402344,32.890682220458984,52.280643463134766,54.88179397583008,46.02452087402344,47.44154357910156,50.4669189453125,28.55251693725586,44.539710998535156","0.5757197301274735","1","0"
"rag","23","10","10","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: what proposition made the insurance commissioner an elected position? Answer: ","545","23_6,23_3,23_2,23_11,23_7","0.263994038105011,0.33111047744750977,0.3373648524284363,0.3559664487838745,0.35733580589294434"," been told that proposition 103 made the insurance commissioner","Proposition 103 in,Proposition 103 in,Proposition 103 in,Proposition 103 in 1988 ,","12.57723331451416,48.695411682128906,52.19060134887695,50.547969818115234,54.297157287597656,52.56598663330078,49.892547607421875,55.32899475097656,58.849666595458984,59.608421325683594","0.02573285025273419","0.3269230769230769","0"
"rag","93","10","10","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who sings i feel love with the blue man group? Answer: ","526","93_5,93_11,93_10,93_6,93_9","0.3003239035606384,0.3054659962654114,0.3105131983757019,0.3527560830116272,0.3564140200614929"," been looking for this song for a while now","Annette Strean provided,Annette Strean provided,Venus Hum toured,Annette providing","14.973104476928711,53.644588470458984,51.95014572143555,54.94713592529297,52.09367370605469,49.25917053222656,52.05612564086914,56.63740158081055,57.78010559082031,56.40216827392578","0","0","0"
"rag","74","10","10","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who has the most followers on the instagram? Answer: ","530","74_3,74_1,74_2,74_12,74_4","0.20044457912445068,0.2092077136039734,0.22833585739135742,0.24093103408813477,0.24176883697509766"," somerhalder has the most followers on","Selena Gomez is,Selena Gomez </Td>,Instagram 's own account ,,Instagram 's own account ,,Instagram 's own account ,","13.200103759765625,26.28472137451172,35.78230285644531,35.337364196777344,40.69976043701172,47.413780212402344,55.01491928100586,61.70170211791992,60.485408782958984,54.92619705200195","0","0","0"
"rag","38","10","10","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who is the singer of kal ho na ho? Answer: ","525","38_1,93_6,38_10,38_3,38_18","0.3211721181869507,0.36287039518356323,0.36357367038726807,0.3702127933502197,0.38480424880981445"," Sonu Nigam ===== Sonu Nig","Sonu Nigam .,Sonu Nigam .,also a sad version of the song in the film on which Sonu Nigam is joined by Alka Yagnik and Richa Sharma .,Sonu Nigam .,Sonu Nigam .,Alka Yagnik and,Richa Sharma .,Sonu Nigam .","14.632818222045898,42.81409454345703,50.48309326171875,59.99608612060547,48.70106506347656,32.260013580322266,21.336843490600586,46.91509246826172,41.91474151611328,56.827476501464844","0.12121093525642128","0.4358974358974359","0"
"rag","25","10","10","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: who invented the cornell method of note taking? Answer: ","531","25_2,25_3,25_20,25_11,25_10","0.2384340763092041,0.31078237295150757,0.312960147857666,0.3374788165092468,0.34667348861694336","Walter Pauk, an education professor","Walter Pauk ,,Walter Pauk ,,Walter Pauk , an education professor at Cornell University .,Walter Pauk ,,Walter Pauk ,","13.420785903930664,39.072425842285156,56.3203125,52.014217376708984,52.254371643066406,40.39661407470703,51.06705856323242,51.364898681640625,62.135597229003906,64.36176300048828","0.32184424080043433","0.6109890109890111","0"
"rag","92","10","10","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where did the tradition of gift giving come from? Answer: ","517","92_5,92_24,92_21,92_3,92_8","0.29091566801071167,0.3027695417404175,0.3055112361907959,0.31406188011169434,0.3291306495666504","~~~ The tradition of gift giving is an old","in ancient Rome with gift - giving during the Saturnalia holiday ,","12.00003719329834,20.816741943359375,33.602439880371094,53.26333999633789,56.002197265625,58.05229568481445,64.1718978881836,53.281982421875,51.404624938964844,55.92344665527344","0.021927068045387584","0.22222222222222224","0"
"rag","52","10","10","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: when did john hart play the lone ranger? Answer: ","546","52_9,52_11,52_12,52_21,52_10","0.26172739267349243,0.26706111431121826,0.27356040477752686,0.2822110652923584,0.28525567054748535"," The Lone Ranger (TV Series) -","from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .,from 1952 until 1953 .","13.691285133361816,46.2767219543457,56.44948959350586,52.96645736694336,56.33540725708008,45.637718200683594,34.09088897705078,46.10723114013672,30.380313873291016,36.49753952026367","0","0","0"
"rag","91","10","10","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: what country shares borders with both belarus and romania? Answer: ","542","91_8,91_7,91_10,91_27,91_13","0.1734079122543335,0.19696277379989624,0.23994439840316772,0.24215376377105713,0.24621367454528809",".
Ukraine  is  a  ","Ukraine borders,Ukraine borders","16.188289642333984,29.60148048400879,51.68923568725586,19.24580192565918,22.233129501342773,54.4714241027832,26.498140335083008,52.073280334472656,34.58749008178711,47.40437698364258","0.061033220311973134","0.4","0"
"rag","33","10","10","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: where does summer of the monkeys take place? Answer: ","539","33_1,93_9,33_12,93_7,33_8","0.33461183309555054,0.3910679221153259,0.39425694942474365,0.4030362367630005,0.40659022331237793"," been looking for the answer to this question for","Oklahoma after,Oklahoma after,Missouri sharecroppers,Oklahoma after,Oklahoma after,Oklahoma after","15.617502212524414,51.15950012207031,51.00431442260742,53.48720932006836,51.70997619628906,51.10153579711914,56.728763580322266,59.04300308227539,52.133880615234375,56.792144775390625","0","0","0"
