"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","predicted","gold","logits","bleu","rouge","correct"
"0","20","beam","9","1","Answer the question: who sang theme song for license to kill?","20","60,23,93,74,38,25,92,52,91","01:49)

The theme song for the movie license to kill, which was composed","Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight","25.152725219726562,15.85637378692627,18.334257125854492,34.771278381347656,29.055774688720703,21.76698112487793,18.449249267578125,15.732367515563965,45.01616668701172,56.82109451293945,40.368247985839844,33.40913772583008,20.860261917114258,45.44101333618164,46.9068603515625,29.75115394592285,27.032949447631836,23.53080940246582,36.541160583496094,38.63881301879883","0","0","0"
"1","20","beam","9","1","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","22","60,23,93,74,38,25,92,52,91"," Concave mirror - Wikipedia | This question is about concave mirrors and convex mirrors.","inverted","27.60622215270996,17.01415252685547,25.258678436279297,23.946758270263672,34.70813751220703,21.659072875976562,36.16319274902344,38.8376350402832,38.961952209472656,21.864723205566406,26.774242401123047,20.793643951416016,30.612506866455078,49.06706237792969,33.75753402709961,33.706687927246094,39.6733283996582,36.53954315185547","0","0","0"
"2","20","beam","9","1","Answer the question: who wore number 7 for the green bay packers?","20","60,23,93,74,38,25,92,52,91","
The question is: who wore number 7 for the green bay packers? 

The","Don Majkowski,Don Majkowski,Quarterback Don Majkowski,Quarterback Don Majkowski,Don Majkowski","28.45358657836914,23.812421798706055,30.28211212158203,44.462406158447266,28.74833106994629,29.178916931152344,46.78424072265625,50.63669967651367,41.71097183227539,34.818817138671875,29.74292755126953,55.507293701171875,50.46043014526367,46.420616149902344,35.08576202392578,36.83892059326172,32.752159118652344,36.385032653808594,34.012081146240234,36.35321044921875","0","0","0"
"3","20","beam","9","1","Answer the question: where does patience is a virtue come from?","20","60,23,93,74,38,25,92,52,91","
The answer is that patience is a virtue is a common phrase that is used to describe the","`` Psychomachia , ''","19.82942771911621,16.315303802490234,19.619518280029297,41.3267936706543,40.12158966064453,30.652507781982422,47.84182357788086,42.371604919433594,41.88090133666992,55.440792083740234,45.16036605834961,42.23225021362305,26.526792526245117,27.7021484375,39.32958221435547,41.73124313354492,47.009361267089844,45.112884521484375,54.96446228027344,38.46783447265625","0","0","0"
"4","20","beam","9","1","Answer the question: who wrote ain't living long like this?","20","60,23,93,74,38,25,92,52,91","","Rodney Crowell","23.724853515625,24.481870651245117","0","0","0"
"5","20","beam","9","1","Answer the question: who played the mom on what's eating gilbert grape?","20","60,23,93,74,38,25,92,52,91"," is the theme song from the movie ""Forrest Gump"" (1994–1999).
","Darlene Cates,Darlene Cates,Darlene Cates","16.566242218017578,14.816967964172363,30.709989547729492,23.354991912841797,32.211483001708984,29.704776763916016,19.8592529296875,19.182905197143555,18.715091705322266,19.277254104614258,24.9709415435791,25.2061767578125,22.068140029907227,38.131526947021484,34.27391052246094,22.73002052307129,22.57406997680664,22.07984161376953,37.363304138183594,36.25564193725586","0","0","0"
"6","20","beam","9","1","Answer the question: where do secondary xylem and phloem cells arise from?","20","60,23,93,74,38,25,92,52,91","edition:","The vascular cambium,the vascular cambium,the vascular cambium,the vascular cambium","15.610797882080078,13.3683500289917,21.433917999267578,24.19158172607422,18.933046340942383,29.344514846801758","0","0","0"
"7","20","beam","9","1","Answer the question: who added a press room to the white house?","20","60,23,93,74,38,25,92,52,91","
The press room is a space for journalists to ask questions of government officials.","President Richard Nixon,President Richard Nixon,Richard Nixon,Richard Nixon,President Richard Nixon","23.26984214782715,20.017858505249023,17.851755142211914,42.273101806640625,32.85906982421875,40.20277786254883,45.635528564453125,41.6284294128418,40.208133697509766,33.21043395996094,42.511722564697266,36.32440185546875,33.384647369384766,42.87063217163086,32.314876556396484,45.55941390991211,33.0662727355957","0","0","0"
"8","20","beam","9","1","Answer the question: nodding your head no is an example of?","20","60,23,93,74,38,25,92,52,91","
A: A simple yes or no question

B: A complex question that requires more","a gesture","36.22183609008789,18.548234939575195,25.6810245513916,33.443603515625,43.15987777709961,42.19209289550781,34.74718475341797,51.30940246582031,36.87173843383789,44.09679412841797,36.828887939453125,30.95054054260254,16.531566619873047,40.551292419433594,30.203508377075195,44.980377197265625,54.84192657470703,40.10992431640625,55.934200286865234,42.629573822021484","0","0.125","0"
"9","20","beam","9","1","Answer the question: who sings the theme tune to mum on bbc2?","20","33,68,31,81,63,45,53,67,78","
|  |  |  |  |  |   |  |  |  ","Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades","25.060352325439453,16.729902267456055,20.835006713867188,19.999980926513672,25.716341018676758,31.132143020629883,17.905473709106445,36.68520736694336,18.05297088623047,25.828758239746094,22.803077697753906,26.363296508789062,23.35492706298828,26.119579315185547,32.50218200683594,32.334190368652344,21.376075744628906,39.00654983520508,22.041988372802734,38.720970153808594","0","0","0"
"10","20","beam","9","1","Answer the question: who played the detective in little boy blue?","20","33,68,31,81,63,45,53,67,78","
Answer: The character of the detective in the film ""The Maltese Falcon"" (","Stephen Graham,Stephen Graham,Stephen Graham,Stephen Graham,Stephen Graham","16.54085922241211,15.479475021362305,17.58249282836914,30.780019760131836,31.842748641967773,28.965627670288086,31.255266189575195,37.907073974609375,41.8029670715332,31.853912353515625,33.85683059692383,20.22279930114746,19.442893981933594,21.427350997924805,16.487031936645508,24.699655532836914,23.51055908203125,20.015199661254883,50.03361511230469,17.437042236328125","0","0","0"
"11","20","beam","9","1","Answer the question: when was the first horrid henry book written?","20","33,68,31,81,63,45,53,67,78"," book was written by L.","published in 1994,1994,1994,in 1994,1994","17.794233322143555,20.65077018737793,31.11062240600586,21.622766494750977,33.38039779663086,16.081256866455078,27.663772583007812","0","0","0"
"12","20","beam","9","1","Answer the question: who plays grace in the secret life of the american teenager?","20","33,68,31,81,63,45,53,67,78","
The secret life of the american teenager is a television series that aired on the fox network","Megan Park,Megan Park,Megan Park,Megan Park,Megan Park","18.881973266601562,28.308542251586914,16.02843475341797,55.426116943359375,47.29322052001953,47.09597396850586,28.313236236572266,30.959253311157227,40.58679962158203,34.108882904052734,24.978361129760742,46.525760650634766,27.887741088867188,51.051368713378906,47.767303466796875,55.51890563964844,44.65810775756836,26.336185455322266,18.91879653930664,25.424110412597656","0","0","0"
"13","20","beam","9","1","Answer the question: who has won the canada open women's doubles?","20","33,68,31,81,63,45,53,67,78","
The canada open is a tennis tournament held in vancouver, and won by sam st","Mayu Matsumoto,Wakana Nagahara,Mayu Matsumoto,Wakana Nagahara","24.778221130371094,16.225168228149414,15.67612361907959,40.95359420776367,42.39599609375,21.822463989257812,30.5848331451416,30.527074813842773,19.872716903686523,28.687517166137695,37.73702621459961,36.4256591796875,16.160289764404297,27.1857852935791,26.163219451904297,20.27264404296875,18.122358322143555,25.939659118652344,11.036210060119629,20.24799346923828","0","0","0"
"14","20","beam","9","1","Answer the question: where does the last name waller come from?","20","33,68,31,81,63,45,53,67,78"," you may be interested in waller
Waller, (noun) a surname: a","Anglo - Saxon origin","15.752053260803223,23.992448806762695,32.641746520996094,29.094532012939453,35.55153274536133,41.481536865234375,15.011797904968262,38.58681869506836,18.66184425354004,13.525505065917969,31.70353126525879,22.157608032226562,35.987491607666016,19.035186767578125,25.27476692199707,36.39627456665039,20.988969802856445,14.932138442993164,18.044897079467773,20.033649444580078","0","0","0"
"15","20","beam","9","1","Answer the question: who wrote how do you do it by gerry and the pacemakers?","20","33,68,31,81,63,45,53,67,78","M: I'm sorry, I don't understand that question.","Mitch Murray,Mitch Murray,Mitch Murray,Mitch Murray","24.68914222717285,14.176584243774414,28.336122512817383,36.811927795410156,54.31987762451172,55.58769989013672,46.6866455078125,47.25817108154297,52.42525863647461,57.85255432128906,50.77372360229492,45.03202819824219,44.06038284301758,49.438350677490234","0","0","0"
"16","20","beam","9","1","Answer the question: what type of reproduction do whiptail lizards use?","20","33,68,31,81,63,45,53,67,78","
Honey bees make honey by combining nectar from flowers with pollen from plants.

","parthenogenesis,Parthenogenesis,Parthenogenesis,parthenogenic,parthenogenesis","30.437911987304688,28.928491592407227,24.970243453979492,18.79835319519043,24.763622283935547,16.806642532348633,20.97490119934082,21.95033073425293,21.48736000061035,28.00670051574707,31.65359878540039,20.082849502563477,19.892982482910156,34.28541564941406,18.708677291870117,27.41411590576172,17.545879364013672,27.21375846862793,23.973003387451172,19.006738662719727","0","0","0"
"17","20","beam","9","1","Answer the question: who sings i don't want to be lonely?","20","33,68,31,81,63,45,53,67,78","That's right: k.","Ronnie Dyson","16.686208724975586,14.934822082519531,20.332202911376953,23.608484268188477,21.140222549438477,16.393226623535156,23.53411865234375","0","0","0"
"18","20","beam","9","1","Answer the question: who wrote song what a friend we have in jesus?","20","27,39,69,42,66,9,26,59,18","
The song was written by a Christian minister named Charles Albert Tindley.","Joseph M. Scriven,Joseph M. Scriven,Joseph M. Scriven,Charles Crozat Converse,William Bolcom,Joseph M. Scriven,Charles Crozat Converse","20.08152961730957,17.28672981262207,15.149358749389648,26.107318878173828,20.031352996826172,35.238582611083984,39.52755355834961,14.16750717163086,14.504899978637695,17.983625411987305,21.844175338745117,15.0386962890625,15.436208724975586,24.538341522216797,20.106430053710938,28.047082901000977,38.02750015258789","0.020044994979069072","0.03809523809523809","0"
"19","20","beam","9","1","Answer the question: who is the original singer of just when i needed you most?","20","27,39,69,42,66,9,26,59,18","
In the film, the song is performed by the character of Professor Keith (played by Dud","Randy VanWarmer,Randy VanWarmer,Randy VanWarmer,Randy VanWarmer","18.5064640045166,12.815163612365723,16.35485076904297,22.745342254638672,34.71995162963867,18.575944900512695,17.083993911743164,39.729618072509766,23.223073959350586,27.836669921875,34.256439208984375,18.176286697387695,20.16556739807129,19.225133895874023,20.827924728393555,15.951375961303711,12.205810546875,21.735017776489258,32.90840148925781,15.360235214233398","0","0","0"
"20","20","beam","9","1","Answer the question: what allows chyme to enter the small intestine?","20","27,39,69,42,66,9,26,59,18","
The small intestine is a part of the digestive system that is responsible for absorbing water, nutrients","pyloric valve,the pyloric valve,the pyloric valve","22.421422958374023,24.109413146972656,15.870728492736816,19.35852813720703,38.98566436767578,26.70305633544922,25.830278396606445,19.1728572845459,33.409645080566406,35.595069885253906,21.537078857421875,38.69549560546875,38.76222229003906,32.425437927246094,29.469829559326172,49.811126708984375,34.56171798706055,28.61737060546875,35.472694396972656,19.933042526245117","0.014936192853457254","0.06666666666666667","0"
"21","20","beam","9","1","Answer the question: where would the group bacteroids likely be found?","20","27,39,69,42,66,9,26,59,18","
The answer is: in the gut of herbivores.","human colon,human colon,the human colon,human colon","20.41610336303711,21.481658935546875,11.951852798461914,32.53981399536133,35.8414421081543,21.862812042236328,21.11886215209961,17.589324951171875,13.160074234008789,19.50075912475586,21.216970443725586,23.96224021911621,33.755226135253906,24.72635841369629","0.028599617161713803","0.045454545454545456","0"
"22","20","beam","9","1","Answer the question: where does the last name andersen originate from?","20","27,39,69,42,66,9,26,59,18","
The last name Andersen is of Danish origin.","Danish,Norwegian","29.99941062927246,25.166810989379883,19.242921829223633,49.32551956176758,51.75309753417969,40.86265563964844,37.63753890991211,44.83376693725586,44.0518913269043,17.260709762573242,29.794267654418945,32.385169982910156","0.028599617161713803","0.1111111111111111","0"
"23","20","beam","9","1","Answer the question: how long did the democrats control the house and senate?","20","27,39,69,42,66,9,26,59,18","go to contributor zone April 3rd, 2019 - Language: English)

The song ""","57 yrs,57 yrs,57 yrs,35 yrs","18.330219268798828,17.19626235961914,28.734155654907227,19.092653274536133,19.642513275146484,14.832915306091309,17.242919921875,15.226892471313477,23.674224853515625,33.89524841308594,18.83901596069336,11.548343658447266,14.946476936340332,34.508392333984375,18.394855499267578,24.66027069091797,22.289175033569336,16.14703369140625,27.2630672454834,22.804988861083984","0","0","0"
