"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","predicted","gold","logits","bleu","rouge","correct"
"rag","60","15","1","10","beam","facebook/contriever",". Question: who sang theme song for license to kill?","1013","60_1,60_2,60_12,60_3,60_4,60_11,60_13,60_5,60_9,60_6","0.5078860521316528,0.5602269768714905,0.5655557513237,0.5878164768218994,0.5992817878723145,0.6097021698951721,0.6182766556739807,0.6292575001716614,0.6372915506362915,0.649518609046936",": Gladys Knight.","Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight","25.660343170166016,37.463829040527344,55.97467041015625,53.025604248046875,44.53192138671875,24.816059112548828","0.07249749990681824","1","0"
"rag","23","15","1","6","beam","facebook/contriever",". Question: a concave mirror can form a real image which is a copy of an object that forms?","573","23_1,23_3,23_4,23_2,23_6,23_5","0.39632678031921387,0.4732421040534973,0.5207118391990662,0.5408962965011597,0.6757581233978271,0.6898006796836853","A concave mirror can form a real image which is a copy of an","inverted","43.21195983886719,12.893805503845215,45.947265625,57.732418060302734,43.74040222167969,58.803001403808594,49.45784378051758,44.293052673339844,45.44278335571289,59.33262252807617,54.175209045410156,53.964908599853516,48.08295822143555,52.70130157470703,63.02857971191406","0","0","0"
"rag","93","15","1","10","beam","facebook/contriever",". Question: who wore number 7 for the green bay packers?","985","93_5,93_1,93_4,93_6,93_8,93_7,93_14,93_13,93_2,93_3","0.4588029384613037,0.4635024070739746,0.46887385845184326,0.4795876741409302,0.49753665924072266,0.5095508098602295,0.5213409662246704,0.5221155881881714,0.5539334416389465,0.5769929885864258",": jerry kramer.","Don Majkowski,Don Majkowski,Quarterback Don Majkowski,Quarterback Don Majkowski,Don Majkowski","47.84111022949219,38.26077651977539,20.441225051879883,29.101612091064453,30.732553482055664,22.898632049560547,32.37116241455078","0","0","0"
"rag","74","15","1","4","beam","facebook/contriever",". Question: where does patience is a virtue come from?","325","74_1,74_2,74_3,74_4","0.33302295207977295,0.5229207277297974,0.6557490825653076,0.7368319034576416",": It is a proverb that has been used for centuries.","`` Psychomachia , ''","47.830814361572266,45.34981155395508,48.14337158203125,58.08897018432617,45.53477096557617,49.61085510253906,36.07823181152344,44.532806396484375,48.14022445678711,45.84614562988281,40.73143768310547,55.11296844482422,58.09314727783203,51.12137985229492","0","0","0"
"rag","38","15","1","10","beam","facebook/contriever",". Question: who wrote ain't living long like this?","992","38_1,38_3,38_13,38_2,38_6,38_9,38_17,38_5,38_16,38_7","0.5749720931053162,0.5904919505119324,0.5963699221611023,0.6122268438339233,0.6256916522979736,0.6308534145355225,0.6347783207893372,0.6401336789131165,0.6483626365661621,0.6537107229232788",": Rodney Crowell.","Rodney Crowell","35.60898208618164,33.15204620361328,49.93444061279297,49.15991973876953,52.34846496582031,41.066104888916016,24.452287673950195","0.07249749990681824","1","0"
"rag","25","15","1","10","beam","facebook/contriever",". Question: who played the mom on what's eating gilbert grape?","958","25_10,25_9,25_11,25_3,25_7,25_2,25_4,25_14,25_8,25_1","0.5334901809692383,0.5598495006561279,0.5940960049629211,0.6193807125091553,0.6236412525177002,0.6560710668563843,0.6612028479576111,0.6617774963378906,0.7112510204315186,0.7588723301887512",": darlene cates.","Darlene Cates,Darlene Cates,Darlene Cates","40.104698181152344,40.02840805053711,44.368324279785156,33.33930587768555,34.502784729003906,18.69577407836914,33.23258590698242,28.748455047607422","0","1","0"
"rag","92","15","1","10","beam","facebook/contriever",". Question: where do secondary xylem and phloem cells arise from?","1017","92_7,92_1,92_4,92_5,92_3,92_10,92_6,92_18,92_11,92_8","0.45654022693634033,0.4566715955734253,0.46412497758865356,0.4678763747215271,0.46850353479385376,0.49392861127853394,0.5004437565803528,0.5035135746002197,0.5100472569465637,0.5244178175926208",": The secondary xylem and phloem cells arise from the","The vascular cambium,the vascular cambium,the vascular cambium,the vascular cambium","40.62833786010742,44.567440032958984,33.85100173950195,39.06954574584961,34.46118927001953,33.806976318359375,33.24562072753906,48.26538848876953,49.97274398803711,25.78778648376465,33.66693878173828,39.82708740234375,53.43219757080078,51.02497863769531,25.38941764831543","0.027895820162122397","0.16666666666666666","0"
"rag","52","15","1","10","beam","facebook/contriever",". Question: who added a press room to the white house?","1014","52_2,52_4,52_3,52_1,52_9,52_11,52_17,52_14,52_6,52_7","0.45433008670806885,0.4589279890060425,0.4596458673477173,0.4653329849243164,0.4934278130531311,0.5206719636917114,0.542536735534668,0.5585631132125854,0.5685128569602966,0.5695929527282715",": President Franklin D.","President Richard Nixon,President Richard Nixon,Richard Nixon,Richard Nixon,President Richard Nixon","50.213951110839844,50.87014389038086,43.30498123168945,51.48561477661133,59.489707946777344,56.272403717041016","0.061033220311973134","0.2","0"
"rag","91","15","1","10","beam","facebook/contriever",". Question: nodding your head no is an example of?","990","91_7,91_8,91_3,91_2,91_5,91_4,91_1,91_6,91_10,91_9","0.4881189465522766,0.5517270565032959,0.5568267107009888,0.561204731464386,0.5630749464035034,0.587916374206543,0.5910863876342773,0.6228901743888855,0.6276301145553589,0.6523150205612183"," Answer: nodding your head no is an example of a nonverbal","a gesture","39.36652755737305,33.77760314941406,31.429277420043945,31.96610450744629,37.98333740234375,44.36747360229492,41.54374694824219,37.86774444580078,39.696205139160156,42.86565399169922,31.277952194213867,37.44221496582031,32.69394302368164,36.11478805541992,23.964569091796875","0.021598265052211615","0.15384615384615385","0"
"rag","33","15","1","10","beam","facebook/contriever",". Question: who sings the theme tune to mum on bbc2?","1012","33_13,33_15,33_14,33_16,33_1,33_8,33_12,33_3,33_2,33_4","0.48169946670532227,0.5547855496406555,0.5672864317893982,0.5814124345779419,0.6196584105491638,0.6248455047607422,0.6388307809829712,0.6426814198493958,0.6723804473876953,0.684882402420044",": Lulu and the Lampshades","Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades","39.23877716064453,42.593238830566406,45.55461883544922,48.07783126831055,36.164817810058594,54.76261901855469,41.59809494018555,33.54063034057617,33.69081497192383,32.57081985473633,33.40549087524414,32.119178771972656","0.668740304976422","1","0"
"rag","68","15","1","10","beam","facebook/contriever",". Question: who played the detective in little boy blue?","985","68_11,68_10,68_1,68_5,68_9,68_2,68_13,68_6,68_7,68_3","0.5461669564247131,0.5657380819320679,0.5674619674682617,0.5899876356124878,0.5987536311149597,0.6643192768096924,0.6770910024642944,0.7044638395309448,0.7105907201766968,0.7215871810913086"," Quora Little Boy Blue ( TV series ) - Wikipedia Little Boy Blue","Stephen Graham,Stephen Graham,Stephen Graham,Stephen Graham,Stephen Graham","38.32455062866211,19.745798110961914,21.3117618560791,26.649755477905273,51.89564514160156,51.54814910888672,35.563934326171875,26.807374954223633,47.745418548583984,45.09431076049805,39.247596740722656,37.340145111083984,44.281803131103516,48.88430404663086,53.0740966796875","0","0","0"
"rag","31","15","1","10","beam","facebook/contriever",". Question: when was the first horrid henry book written?","1016","31_14,31_17,31_2,31_1,31_16,31_13,31_19,31_18,31_15,31_20","0.3987009525299072,0.4086970090866089,0.42860448360443115,0.4362698197364807,0.4368535876274109,0.452625572681427,0.45897382497787476,0.46109437942504883,0.47536134719848633,0.48011767864227295",": the first horrid henry book was written in 1994.","published in 1994,1994,1994,in 1994,1994","51.092716217041016,36.81547927856445,49.57915115356445,57.366825103759766,57.751976013183594,30.714025497436523,34.28751754760742,34.4727668762207,47.429954528808594,49.56452941894531,57.693477630615234,55.96035385131836,55.14337921142578,48.145057678222656","0.023457495174891017","0.2593939393939394","0"
"rag","81","15","1","10","beam","facebook/contriever",". Question: who plays grace in the secret life of the american teenager?","1017","81_3,81_2,81_9,81_11,81_6,81_1,81_8,81_12,81_4,81_13","0.5210626721382141,0.5375759601593018,0.5426883697509766,0.5999737977981567,0.6151204705238342,0.639846920967102,0.6493061780929565,0.6598875522613525,0.6610869765281677,0.67471843957901",": megan park.","Megan Park,Megan Park,Megan Park,Megan Park,Megan Park","41.05619430541992,40.74653244018555,44.76846694946289,32.26542663574219,34.41965103149414,31.22202491760254","0","1","0"
"rag","63","15","1","10","beam","facebook/contriever",". Question: who has won the canada open women's doubles?","927","63_1,63_2,63_24,63_23,63_4,63_16,63_25,63_18,63_20,63_8","0.5400532484054565,0.5548351407051086,0.5638061165809631,0.5721730589866638,0.6385300755500793,0.6529332399368286,0.6636308431625366,0.6954250931739807,0.6988081932067871,0.711497962474823","Answer: in the year 2000, the winners of the canada open","Mayu Matsumoto,Wakana Nagahara,Mayu Matsumoto,Wakana Nagahara","44.369110107421875,11.434045791625977,40.5533561706543,36.402156829833984,53.58070373535156,44.253658294677734,51.461429595947266,41.274391174316406,35.320594787597656,45.122535705566406,55.74312210083008,61.83819580078125,52.78361511230469,50.02587127685547,44.37517166137695","0","0","0"
"rag","45","15","1","10","beam","facebook/contriever",". Question: where does the last name waller come from?","995","45_10,45_1,45_11,45_5,45_3,45_8,45_9,45_7,45_2,45_6","0.4454768896102905,0.5078781247138977,0.5084516406059265,0.5192884206771851,0.5204657316207886,0.5283389687538147,0.5459389686584473,0.5598070621490479,0.5732896327972412,0.5766410827636719","Waller ( surname ) - wikipedia
Waller ( surname )","Anglo - Saxon origin","40.03419876098633,16.26483917236328,51.272090911865234,28.7005558013916,27.15776824951172,37.68513488769531,42.63890075683594,47.69236373901367,32.189910888671875,33.95079040527344,17.04601287841797,47.45233917236328,31.332794189453125,28.833364486694336,39.25170135498047","0.023457495174891017","0","0"
"rag","53","15","1","10","beam","facebook/contriever",". Question: who wrote how do you do it by gerry and the pacemakers?","941","53_2,53_11,53_10,53_5,53_1,53_6,53_9,53_8,53_7,53_13","0.47201287746429443,0.48421454429626465,0.5410224199295044,0.558929979801178,0.5674940347671509,0.5965749025344849,0.6187160611152649,0.6496263742446899,0.6633275151252747,0.6974065899848938","How Do You Do It? by Gerry and the Pacemakers","Mitch Murray,Mitch Murray,Mitch Murray,Mitch Murray","45.44645690917969,16.538803100585938,60.00587844848633,62.74643325805664,58.41497039794922,61.14346694946289,31.216922760009766,18.440366744995117,53.309696197509766,44.598941802978516,48.360816955566406,48.11167526245117,44.579978942871094,28.02088165283203,32.65650939941406","0","0","0"
