"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","perplexity"
"0","20","beam","5","25","Answer the question: who sang theme song for license to kill?","1","60,23,93,74,38","26004.630859375"
"1","20","beam","5","25","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","1","60,23,93,74,38","27314.20703125"
"2","20","beam","5","25","Answer the question: who wore number 7 for the green bay packers?","1","60,23,93,74,38","33729.02734375"
"3","20","beam","5","25","Answer the question: where does patience is a virtue come from?","1","60,23,93,74,38","25013.275390625"
"4","20","beam","5","25","Answer the question: who wrote ain't living long like this?","1","60,23,93,74,38","54373.29296875"
"5","20","beam","5","25","Answer the question: who played the mom on what's eating gilbert grape?","1","25,92,52,91,33","5080.146484375"
"6","20","beam","5","25","Answer the question: where do secondary xylem and phloem cells arise from?","1","25,92,52,91,33","10463.3037109375"
"7","20","beam","5","25","Answer the question: who added a press room to the white house?","1","25,92,52,91,33","49584.3203125"
"8","20","beam","5","25","Answer the question: nodding your head no is an example of?","1","25,92,52,91,33","37404.015625"
"9","20","beam","5","25","Answer the question: who sings the theme tune to mum on bbc2?","1","25,92,52,91,33","8029.92578125"
"10","20","beam","5","25","Answer the question: who played the detective in little boy blue?","1","68,31,81,63,45","72561.1171875"
"11","20","beam","5","25","Answer the question: when was the first horrid henry book written?","1","68,31,81,63,45","76169.90625"
"12","20","beam","5","25","Answer the question: who plays grace in the secret life of the american teenager?","1","68,31,81,63,45","23813.267578125"
"13","20","beam","5","25","Answer the question: who has won the canada open women's doubles?","1","68,31,81,63,45","22112.73828125"
"14","20","beam","5","25","Answer the question: where does the last name waller come from?","1","68,31,81,63,45","13294.259765625"
"15","20","beam","5","25","Answer the question: who wrote how do you do it by gerry and the pacemakers?","1","53,67,78,27,39","4186.97998046875"
"16","20","beam","5","25","Answer the question: what type of reproduction do whiptail lizards use?","1","53,67,78,27,39","36830.79296875"
"17","20","beam","5","25","Answer the question: who sings i don't want to be lonely?","1","53,67,78,27,39","34024.0859375"
"18","20","beam","5","25","Answer the question: who wrote song what a friend we have in jesus?","1","53,67,78,27,39","8962.1396484375"
"19","20","beam","5","25","Answer the question: who is the original singer of just when i needed you most?","1","53,67,78,27,39","11021.70703125"
"20","20","beam","5","25","Answer the question: what allows chyme to enter the small intestine?","1","69,42,66,9,26","16047.3818359375"
"21","20","beam","5","25","Answer the question: where would the group bacteroids likely be found?","1","69,42,66,9,26","38790.6015625"
"22","20","beam","5","25","Answer the question: where does the last name andersen originate from?","1","69,42,66,9,26","24846.2109375"
"23","20","beam","5","25","Answer the question: how long did the democrats control the house and senate?","1","69,42,66,9,26","12282.39453125"
"24","20","beam","5","25","Answer the question: who sang in the movie i walk the line?","1","69,42,66,9,26","44209.34765625"
"25","20","beam","5","25","Answer the question: who is the premier of northern cape 2018?","1","59,18,89,87,97","29995.556640625"
"26","20","beam","5","25","Answer the question: who owns the biggest house in beverly hills?","1","59,18,89,87,97","24193.85546875"
"27","20","beam","5","25","Answer the question: who sings god is great beer is good?","1","59,18,89,87,97","93467.828125"
"28","20","beam","5","25","Answer the question: what does the air gap do on a dishwasher?","1","59,18,89,87,97","23508.982421875"
"29","20","beam","5","25","Answer the question: who is the first indian climber of mount everest?","1","59,18,89,87,97","12323.82421875"
"30","20","beam","5","25","Answer the question: what is in a pat o brien hurricane?","1","7,44,84,96,15","50533.5078125"
"31","20","beam","5","25","Answer the question: what is the name of son of lord krishna?","1","7,44,84,96,15","13553.62109375"
"32","20","beam","5","25","Answer the question: who played anna in once upon a time?","1","7,44,84,96,15","49033.85546875"
"33","20","beam","5","25","Answer the question: what is the average salary for a us congressman?","1","7,44,84,96,15","26146.80078125"
"34","20","beam","5","25","Answer the question: what type of joint connects the incus with the malleus?","1","7,44,84,96,15","22128.28515625"
"35","20","beam","5","25","Answer the question: when was the lupus foundation of america founded?","1","17,41,24,21,22","25080.349609375"
"36","20","beam","5","25","Answer the question: what started the war between us and japan?","1","17,41,24,21,22","37919.30859375"
"37","20","beam","5","25","Answer the question: who sang i put a spell on you in hocus pocus?","1","17,41,24,21,22","10060.685546875"
"38","20","beam","5","25","Answer the question: who played jennifer in back to the future?","1","17,41,24,21,22","14290.9375"
"39","20","beam","5","25","Answer the question: where are the cardiac and vasomotor centers found?","1","17,41,24,21,22","13968.8642578125"
"40","20","beam","5","25","Answer the question: who was the first to say i'm going to disney world?","1","50,12,20,71,75","15220.4609375"
"41","20","beam","5","25","Answer the question: who sings the whiskey ain't workin anymore?","1","50,12,20,71,75","69501.6640625"
"42","20","beam","5","25","Answer the question: this inventor co-created the film fred ott’s sneeze?","1","50,12,20,71,75","12558.1201171875"
"43","20","beam","5","25","Answer the question: what goes on the bottom of shepherd's pie?","1","50,12,20,71,75","33726.32421875"
"44","20","beam","5","25","Answer the question: who sang the most number of songs in the world?","1","50,12,20,71,75","20184.3828125"
"45","20","beam","5","25","Answer the question: who owns spirit of the suwannee music park?","1","57,36,13,55,14","12851.5146484375"
"46","20","beam","5","25","Answer the question: who is the singer of kal ho na ho?","1","57,36,13,55,14","17293.009765625"
"47","20","beam","5","25","Answer the question: what episode does marnie come back in geordie shore?","1","57,36,13,55,14","35267.2421875"
"48","20","beam","5","25","Answer the question: is jaffa cakes a biscuit or a cake?","1","57,36,13,55,14","29687.57421875"
"49","20","beam","5","25","Answer the question: who sings love will keep us alive by the eagles?","1","57,36,13,55,14","10489.1103515625"
"50","20","beam","5","25","Answer the question: who sings the theme song for the tv show cops?","1","70,2,47,77,1","28115.7265625"
"51","20","beam","5","25","Answer the question: when did 10 shilling note go out of circulation?","1","70,2,47,77,1","50270.8203125"
"52","20","beam","5","25","Answer the question: who sang the songs on walk the line?","1","70,2,47,77,1","35164.5390625"
"53","20","beam","5","25","Answer the question: who sang the song should have been a cowboy?","1","70,2,47,77,1","22102.216796875"
"54","20","beam","5","25","Answer the question: who sang i ran all the way home?","1","70,2,47,77,1","31974.65234375"
"55","20","beam","5","25","Answer the question: what is the second largest country in asia?","1","16,32,54,83,51","21469.61328125"
"56","20","beam","5","25","Answer the question: who sang the theme song for the man with the golden gun?","1","16,32,54,83,51","19178.654296875"
"57","20","beam","5","25","Answer the question: where does the last name roberts come from?","1","16,32,54,83,51","28723.900390625"
"58","20","beam","5","25","Answer the question: what type of plate boundary is associated with iceland and its volcanic eruptions?","1","16,32,54,83,51","6221.64306640625"
"59","20","beam","5","25","Answer the question: who is the captain of richmond football club?","1","16,32,54,83,51","27336.59375"
"60","20","beam","5","25","Answer the question: what's the difference between salisbury steak and hamburger steak?","1","80,79,61,46,65","2658.036865234375"
"61","20","beam","5","25","Answer the question: where is the heart of palm on a palm tree?","1","80,79,61,46,65","18604.81640625"
"62","20","beam","5","25","Answer the question: who won the 10m air pistol gold medal at commonwealth shooting championship in brisbane australia?","1","80,79,61,46,65","5673.255859375"
"63","20","beam","5","25","Answer the question: how old do you have to be to get a gun licence in nz?","1","80,79,61,46,65","5751.18798828125"
"64","20","beam","5","25","Answer the question: what is the meaning of gorakh dhanda in urdu?","1","80,79,61,46,65","7177.82568359375"
"65","20","beam","5","25","Answer the question: when did the song things that make you go hmmm come out?","1","29,98,8,58,11","7559.71484375"
"66","20","beam","5","25","Answer the question: cast of the have and have nots play?","1","29,98,8,58,11","20192.1015625"
"67","20","beam","5","25","Answer the question: where does the last name orozco originate from?","1","29,98,8,58,11","35874.7578125"
"68","20","beam","5","25","Answer the question: what is the name of india pakistan border?","1","29,98,8,58,11","15916.275390625"
"69","20","beam","5","25","Answer the question: which british city is farthest from the sea?","1","29,98,8,58,11","13285.2861328125"
"70","20","beam","5","25","Answer the question: who played mrs warboys in one foot in the grave?","1","35,19,40,82,4","3937.9541015625"
"71","20","beam","5","25","Answer the question: who stepped out of the dithyrambic chorus to become the first actor?","1","35,19,40,82,4","11566.45703125"
"72","20","beam","5","25","Answer the question: where was the salvation army's christmas collection kettle first introduced?","1","35,19,40,82,4","35270.70703125"
"73","20","beam","5","25","Answer the question: sequel to a christmas story it runs in the family?","1","35,19,40,82,4","32833.55078125"
"74","20","beam","5","25","Answer the question: where was because i could not stop for death published?","1","35,19,40,82,4","29552.126953125"
"75","20","beam","5","25","Answer the question: where does kfc get their chicken in south africa?","1","43,88,28,10,37","8029.60400390625"
"76","20","beam","5","25","Answer the question: who won the super heavyweight gold medal at the 2000 olympics?","1","43,88,28,10,37","7086.00634765625"
"77","20","beam","5","25","Answer the question: when did men's curling start in the olympics?","1","43,88,28,10,37","12805.611328125"
"78","20","beam","5","25","Answer the question: which state is the richest state in nigeria?","1","43,88,28,10,37","43505.9765625"
"79","20","beam","5","25","Answer the question: who wrote if she knew what she wants?","1","43,88,28,10,37","40210.48046875"
"80","20","beam","5","25","Answer the question: where was the film coming home for christmas filmed?","1","86,5,94,56,6","33134.45703125"
"81","20","beam","5","25","Answer the question: who plays the mother of howard on big bang theory?","1","86,5,94,56,6","19950.634765625"
"82","20","beam","5","25","Answer the question: who was the dj on in living color?","1","86,5,94,56,6","61424.7421875"
"83","20","beam","5","25","Answer the question: when did the granite mountain hotshots get certified?","1","86,5,94,56,6","85226.0703125"
