"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","perplexity"
"0","20","beam","5","15","Answer the question: who sang theme song for license to kill?","1","60,23,93,74,38","15972.7197265625"
"1","20","beam","5","15","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","1","60,23,93,74,38","22618.05078125"
"2","20","beam","5","15","Answer the question: who wore number 7 for the green bay packers?","1","60,23,93,74,38","25075.755859375"
"3","20","beam","5","15","Answer the question: where does patience is a virtue come from?","1","60,23,93,74,38","18632.9609375"
"4","20","beam","5","15","Answer the question: who wrote ain't living long like this?","1","60,23,93,74,38","37698.4609375"
"5","20","beam","5","15","Answer the question: who played the mom on what's eating gilbert grape?","1","25,92,52,91,33","4087.111328125"
"6","20","beam","5","15","Answer the question: where do secondary xylem and phloem cells arise from?","1","25,92,52,91,33","4880.34619140625"
"7","20","beam","5","15","Answer the question: who added a press room to the white house?","1","25,92,52,91,33","41207.83984375"
"8","20","beam","5","15","Answer the question: nodding your head no is an example of?","1","25,92,52,91,33","24458.06640625"
"9","20","beam","5","15","Answer the question: who sings the theme tune to mum on bbc2?","1","25,92,52,91,33","5466.49462890625"
"10","20","beam","5","15","Answer the question: who played the detective in little boy blue?","1","68,31,81,63,45","52206.17578125"
"11","20","beam","5","15","Answer the question: when was the first horrid henry book written?","1","68,31,81,63,45","55650.13671875"
"12","20","beam","5","15","Answer the question: who plays grace in the secret life of the american teenager?","1","68,31,81,63,45","19414.12890625"
"13","20","beam","5","15","Answer the question: who has won the canada open women's doubles?","1","68,31,81,63,45","21402.640625"
"14","20","beam","5","15","Answer the question: where does the last name waller come from?","1","68,31,81,63,45","11621.564453125"
"15","20","beam","5","15","Answer the question: who wrote how do you do it by gerry and the pacemakers?","1","53,67,78,27,39","4326.41552734375"
"16","20","beam","5","15","Answer the question: what type of reproduction do whiptail lizards use?","1","53,67,78,27,39","28147.302734375"
"17","20","beam","5","15","Answer the question: who sings i don't want to be lonely?","1","53,67,78,27,39","38989.94921875"
"18","20","beam","5","15","Answer the question: who wrote song what a friend we have in jesus?","1","53,67,78,27,39","8282.8955078125"
"19","20","beam","5","15","Answer the question: who is the original singer of just when i needed you most?","1","53,67,78,27,39","8904.064453125"
"20","20","beam","5","15","Answer the question: what allows chyme to enter the small intestine?","1","69,42,66,9,26","15535.91015625"
"21","20","beam","5","15","Answer the question: where would the group bacteroids likely be found?","1","69,42,66,9,26","37029.57421875"
"22","20","beam","5","15","Answer the question: where does the last name andersen originate from?","1","69,42,66,9,26","23200.06640625"
"23","20","beam","5","15","Answer the question: how long did the democrats control the house and senate?","1","69,42,66,9,26","10031.5703125"
"24","20","beam","5","15","Answer the question: who sang in the movie i walk the line?","1","69,42,66,9,26","37523.09765625"
"25","20","beam","5","15","Answer the question: who is the premier of northern cape 2018?","1","59,18,89,87,97","19743.681640625"
"26","20","beam","5","15","Answer the question: who owns the biggest house in beverly hills?","1","59,18,89,87,97","13270.673828125"
"27","20","beam","5","15","Answer the question: who sings god is great beer is good?","1","59,18,89,87,97","63492.66015625"
"28","20","beam","5","15","Answer the question: what does the air gap do on a dishwasher?","1","59,18,89,87,97","16983.47265625"
"29","20","beam","5","15","Answer the question: who is the first indian climber of mount everest?","1","59,18,89,87,97","8395.8583984375"
"30","20","beam","5","15","Answer the question: what is in a pat o brien hurricane?","1","7,44,84,96,15","35357.0546875"
"31","20","beam","5","15","Answer the question: what is the name of son of lord krishna?","1","7,44,84,96,15","9131.94921875"
"32","20","beam","5","15","Answer the question: who played anna in once upon a time?","1","7,44,84,96,15","44835.0234375"
"33","20","beam","5","15","Answer the question: what is the average salary for a us congressman?","1","7,44,84,96,15","16594.95703125"
"34","20","beam","5","15","Answer the question: what type of joint connects the incus with the malleus?","1","7,44,84,96,15","19213.73046875"
"35","20","beam","5","15","Answer the question: when was the lupus foundation of america founded?","1","17,41,24,21,22","26003.541015625"
"36","20","beam","5","15","Answer the question: what started the war between us and japan?","1","17,41,24,21,22","39900.48828125"
"37","20","beam","5","15","Answer the question: who sang i put a spell on you in hocus pocus?","1","17,41,24,21,22","10630.51953125"
"38","20","beam","5","15","Answer the question: who played jennifer in back to the future?","1","17,41,24,21,22","16873.916015625"
"39","20","beam","5","15","Answer the question: where are the cardiac and vasomotor centers found?","1","17,41,24,21,22","11671.923828125"
"40","20","beam","5","15","Answer the question: who was the first to say i'm going to disney world?","1","50,12,20,71,75","13051.8916015625"
"41","20","beam","5","15","Answer the question: who sings the whiskey ain't workin anymore?","1","50,12,20,71,75","49768.9453125"
"42","20","beam","5","15","Answer the question: this inventor co-created the film fred ott’s sneeze?","1","50,12,20,71,75","18818.6328125"
"43","20","beam","5","15","Answer the question: what goes on the bottom of shepherd's pie?","1","50,12,20,71,75","36366.58984375"
"44","20","beam","5","15","Answer the question: who sang the most number of songs in the world?","1","50,12,20,71,75","19595.171875"
"45","20","beam","5","15","Answer the question: who owns spirit of the suwannee music park?","1","57,36,13,55,14","11441.2470703125"
"46","20","beam","5","15","Answer the question: who is the singer of kal ho na ho?","1","57,36,13,55,14","16634.88671875"
"47","20","beam","5","15","Answer the question: what episode does marnie come back in geordie shore?","1","57,36,13,55,14","36833.81640625"
"48","20","beam","5","15","Answer the question: is jaffa cakes a biscuit or a cake?","1","57,36,13,55,14","24126.23046875"
"49","20","beam","5","15","Answer the question: who sings love will keep us alive by the eagles?","1","57,36,13,55,14","10430.744140625"
"50","20","beam","5","15","Answer the question: who sings the theme song for the tv show cops?","1","70,2,47,77,1","25786.7890625"
"51","20","beam","5","15","Answer the question: when did 10 shilling note go out of circulation?","1","70,2,47,77,1","47314.63671875"
"52","20","beam","5","15","Answer the question: who sang the songs on walk the line?","1","70,2,47,77,1","32608.5625"
"53","20","beam","5","15","Answer the question: who sang the song should have been a cowboy?","1","70,2,47,77,1","18737.6328125"
"54","20","beam","5","15","Answer the question: who sang i ran all the way home?","1","70,2,47,77,1","32885.1015625"
"55","20","beam","5","15","Answer the question: what is the second largest country in asia?","1","16,32,54,83,51","25414.640625"
"56","20","beam","5","15","Answer the question: who sang the theme song for the man with the golden gun?","1","16,32,54,83,51","18205.322265625"
"57","20","beam","5","15","Answer the question: where does the last name roberts come from?","1","16,32,54,83,51","20925.560546875"
"58","20","beam","5","15","Answer the question: what type of plate boundary is associated with iceland and its volcanic eruptions?","1","16,32,54,83,51","5368.693359375"
"59","20","beam","5","15","Answer the question: who is the captain of richmond football club?","1","16,32,54,83,51","26026.4140625"
"60","20","beam","5","15","Answer the question: what's the difference between salisbury steak and hamburger steak?","1","80,79,61,46,65","2793.83544921875"
"61","20","beam","5","15","Answer the question: where is the heart of palm on a palm tree?","1","80,79,61,46,65","15183.3896484375"
"62","20","beam","5","15","Answer the question: who won the 10m air pistol gold medal at commonwealth shooting championship in brisbane australia?","1","80,79,61,46,65","4357.00634765625"
"63","20","beam","5","15","Answer the question: how old do you have to be to get a gun licence in nz?","1","80,79,61,46,65","5090.1318359375"
"64","20","beam","5","15","Answer the question: what is the meaning of gorakh dhanda in urdu?","1","80,79,61,46,65","5499.6416015625"
