"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","perplexity"
"0","20","beam","5","20","Answer the question: who sang theme song for license to kill?","1","60,23,93,74,38","190.90032958984375"
"1","20","beam","5","20","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","1","60,23,93,74,38","401.73126220703125"
"2","20","beam","5","20","Answer the question: who wore number 7 for the green bay packers?","1","60,23,93,74,38","800.8240966796875"
"3","20","beam","5","20","Answer the question: where does patience is a virtue come from?","1","60,23,93,74,38","544.5888671875"
"4","20","beam","5","20","Answer the question: who wrote ain't living long like this?","1","60,23,93,74,38","612.192626953125"
"5","20","beam","5","20","Answer the question: who played the mom on what's eating gilbert grape?","1","25,92,52,91,33","46.50425338745117"
"6","20","beam","5","20","Answer the question: where do secondary xylem and phloem cells arise from?","1","25,92,52,91,33","126.45646667480469"
"7","20","beam","5","20","Answer the question: who added a press room to the white house?","1","25,92,52,91,33","461.4471130371094"
"8","20","beam","5","20","Answer the question: nodding your head no is an example of?","1","25,92,52,91,33","685.9061279296875"
"9","20","beam","5","20","Answer the question: who sings the theme tune to mum on bbc2?","1","25,92,52,91,33","572.2050170898438"
"10","20","beam","5","20","Answer the question: who played the detective in little boy blue?","1","68,31,81,63,45","94.5596694946289"
"11","20","beam","5","20","Answer the question: when was the first horrid henry book written?","1","68,31,81,63,45","603.115478515625"
"12","20","beam","5","20","Answer the question: who plays grace in the secret life of the american teenager?","1","68,31,81,63,45","145.0796661376953"
"13","20","beam","5","20","Answer the question: who has won the canada open women's doubles?","1","68,31,81,63,45","654.6123046875"
"14","20","beam","5","20","Answer the question: where does the last name waller come from?","1","68,31,81,63,45","94.47669219970703"
"15","20","beam","5","20","Answer the question: who wrote how do you do it by gerry and the pacemakers?","1","53,67,78,27,39","36.49810028076172"
"16","20","beam","5","20","Answer the question: what type of reproduction do whiptail lizards use?","1","53,67,78,27,39","1814.3426513671875"
"17","20","beam","5","20","Answer the question: who sings i don't want to be lonely?","1","53,67,78,27,39","327.11578369140625"
