"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","perplexity"
"0","20","beam","5","25","Answer the question: who sang theme song for license to kill?","1","60,23,93,74,38","232.9619903564453"
"1","20","beam","5","25","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","1","60,23,93,74,38","474.993896484375"
"2","20","beam","5","25","Answer the question: who wore number 7 for the green bay packers?","1","60,23,93,74,38","1634.201416015625"
"3","20","beam","5","25","Answer the question: where does patience is a virtue come from?","1","60,23,93,74,38","489.39111328125"
"4","20","beam","5","25","Answer the question: who wrote ain't living long like this?","1","60,23,93,74,38","1102.425048828125"
"5","20","beam","5","25","Answer the question: who played the mom on what's eating gilbert grape?","1","25,92,52,91,33","49.613311767578125"
"6","20","beam","5","25","Answer the question: where do secondary xylem and phloem cells arise from?","1","25,92,52,91,33","246.45907592773438"
"7","20","beam","5","25","Answer the question: who added a press room to the white house?","1","25,92,52,91,33","512.2861938476562"
"8","20","beam","5","25","Answer the question: nodding your head no is an example of?","1","25,92,52,91,33","548.2815551757812"
"9","20","beam","5","25","Answer the question: who sings the theme tune to mum on bbc2?","1","25,92,52,91,33","774.5780639648438"
"10","20","beam","5","25","Answer the question: who played the detective in little boy blue?","1","68,31,81,63,45","93.50794219970703"
"11","20","beam","5","25","Answer the question: when was the first horrid henry book written?","1","68,31,81,63,45","644.8898315429688"
"12","20","beam","5","25","Answer the question: who plays grace in the secret life of the american teenager?","1","68,31,81,63,45","181.74295043945312"
"13","20","beam","5","25","Answer the question: who has won the canada open women's doubles?","1","68,31,81,63,45","1058.6944580078125"
"14","20","beam","5","25","Answer the question: where does the last name waller come from?","1","68,31,81,63,45","246.6708221435547"
"15","20","beam","5","25","Answer the question: who wrote how do you do it by gerry and the pacemakers?","1","53,67,78,27,39","35.08517074584961"
"16","20","beam","5","25","Answer the question: what type of reproduction do whiptail lizards use?","1","53,67,78,27,39","1740.135986328125"
"17","20","beam","5","25","Answer the question: who sings i don't want to be lonely?","1","53,67,78,27,39","312.28271484375"
"18","20","beam","5","25","Answer the question: who wrote song what a friend we have in jesus?","1","53,67,78,27,39","285.1722412109375"
"19","20","beam","5","25","Answer the question: who is the original singer of just when i needed you most?","1","53,67,78,27,39","398.5889892578125"
"20","20","beam","5","25","Answer the question: what allows chyme to enter the small intestine?","1","69,42,66,9,26","380.83642578125"
"21","20","beam","5","25","Answer the question: where would the group bacteroids likely be found?","1","69,42,66,9,26","3105.410400390625"
"22","20","beam","5","25","Answer the question: where does the last name andersen originate from?","1","69,42,66,9,26","526.2022094726562"
"23","20","beam","5","25","Answer the question: how long did the democrats control the house and senate?","1","69,42,66,9,26","1085.60888671875"
"24","20","beam","5","25","Answer the question: who sang in the movie i walk the line?","1","69,42,66,9,26","2499.2421875"
