"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","perplexity"
"rag","60","15","1","1","beam","facebook/contriever",". Question: who sang theme song for license to kill?","115","60_1","0.5078860521316528","10.593899726867676"
"rag","23","15","1","1","beam","facebook/contriever",". Question: a concave mirror can form a real image which is a copy of an object that forms?","124","23_1","0.39632678031921387","18.530929565429688"
"rag","93","15","1","1","beam","facebook/contriever",". Question: who wore number 7 for the green bay packers?","117","93_5","0.4588029384613037","22.596601486206055"
"rag","74","15","1","1","beam","facebook/contriever",". Question: where does patience is a virtue come from?","115","74_1","0.33302295207977295","9.456881523132324"
"rag","38","15","1","1","beam","facebook/contriever",". Question: who wrote ain't living long like this?","113","38_1","0.5749720931053162","17.32144546508789"
"rag","25","15","1","1","beam","facebook/contriever",". Question: who played the mom on what's eating gilbert grape?","119","25_10","0.5334901809692383","14.138754844665527"
"rag","92","15","1","1","beam","facebook/contriever",". Question: where do secondary xylem and phloem cells arise from?","120","92_7","0.45654022693634033","30.75345230102539"
"rag","52","15","1","1","beam","facebook/contriever",". Question: who added a press room to the white house?","116","52_2","0.45433008670806885","27.140085220336914"
"rag","91","15","1","1","beam","facebook/contriever",". Question: nodding your head no is an example of?","115","91_7","0.4881189465522766","50.16218948364258"
"rag","33","15","1","1","beam","facebook/contriever",". Question: who sings the theme tune to mum on bbc2?","118","33_13","0.48169946670532227","18.594297409057617"
"rag","68","15","1","1","beam","facebook/contriever",". Question: who played the detective in little boy blue?","115","68_11","0.5461669564247131","16.61952781677246"
"rag","31","15","1","1","beam","facebook/contriever",". Question: when was the first horrid henry book written?","117","31_14","0.3987009525299072","28.039169311523438"
"rag","81","15","1","1","beam","facebook/contriever",". Question: who plays grace in the secret life of the american teenager?","119","81_3","0.5210626721382141","23.91630744934082"
"rag","63","15","1","1","beam","facebook/contriever",". Question: who has won the canada open women's doubles?","116","63_1","0.5400532484054565","18.553144454956055"
"rag","45","15","1","1","beam","facebook/contriever",". Question: where does the last name waller come from?","115","45_10","0.4454768896102905","22.69637680053711"
"rag","53","15","1","1","beam","facebook/contriever",". Question: who wrote how do you do it by gerry and the pacemakers?","122","53_2","0.47201287746429443","11.86837100982666"
"rag","67","15","1","1","beam","facebook/contriever",". Question: what type of reproduction do whiptail lizards use?","118","67_8","0.4429336190223694","37.8917236328125"
"rag","78","15","1","1","beam","facebook/contriever",". Question: who sings i don't want to be lonely?","116","78_1","0.570346474647522","29.3101749420166"
"rag","27","15","1","1","beam","facebook/contriever",". Question: who wrote song what a friend we have in jesus?","119","27_1","0.4147183895111084","9.485270500183105"
"rag","39","15","1","1","beam","facebook/contriever",". Question: who is the original singer of just when i needed you most?","119","39_1","0.48868680000305176","19.31062889099121"
"rag","69","15","1","1","beam","facebook/contriever",". Question: what allows chyme to enter the small intestine?","116","69_6","0.4046139717102051","30.499929428100586"
"rag","42","15","1","1","beam","facebook/contriever",". Question: where would the group bacteroids likely be found?","116","42_1","0.5250421762466431","5.939344882965088"
"rag","66","15","1","1","beam","facebook/contriever",". Question: where does the last name andersen originate from?","116","66_1","0.3935396075248718","18.043861389160156"
"rag","9","15","1","1","beam","facebook/contriever",". Question: how long did the democrats control the house and senate?","119","9_3","0.3648809790611267","24.181713104248047"
"rag","26","15","1","1","beam","facebook/contriever",". Question: who sang in the movie i walk the line?","116","26_1","0.5105039477348328","9.767234802246094"
"rag","59","15","1","1","beam","facebook/contriever",". Question: who is the premier of northern cape 2018?","115","59_1","0.41659873723983765","11.254046440124512"
"rag","18","15","1","1","beam","facebook/contriever",". Question: who owns the biggest house in beverly hills?","117","18_2","0.47363054752349854","46.64525604248047"
"rag","89","15","1","1","beam","facebook/contriever",". Question: who sings god is great beer is good?","115","89_6","0.6150150299072266","40.52831268310547"
"rag","87","15","1","1","beam","facebook/contriever",". Question: what does the air gap do on a dishwasher?","118","87_3","0.3667505979537964","27.72597885131836"
"rag","97","15","1","1","beam","facebook/contriever",". Question: who is the first indian climber of mount everest?","118","97_3","0.4017638564109802","30.50650405883789"
"rag","7","15","1","1","beam","facebook/contriever",". Question: what is in a pat o brien hurricane?","114","7_5","0.5481581687927246","54.19943618774414"
