"id","max_length","generation_method","n_retrieval_docs","top_k","userprompt","n_tokens","doc_indices","predicted","gold","logits","bleu","rouge","correct"
"0","20","beam","1","15","Answer the question: who sang theme song for license to kill?","20","60","Licence to Kill (1989)
Licence to Kill is a 1989 film starring Timothy Dalton","Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight,Gladys Knight","15.038459777832031,11.859962463378906,26.897037506103516,52.224002838134766,37.002296447753906,20.93632698059082,18.969324111938477,23.981948852539062,16.220653533935547,17.114477157592773,28.511341094970703,50.892311096191406,46.98004150390625,29.740449905395508,39.488121032714844,33.14552688598633,27.72846221923828,35.302223205566406,20.654085159301758,21.306594848632812","0","0","0"
"1","20","beam","1","15","Answer the question: a concave mirror can form a real image which is a copy of an object that forms?","22","23","A real image is a visible image of an object formed by a lens or mirror. The image","inverted","41.48878479003906,14.448637962341309,43.32872009277344,41.23971176147461,46.21145248413086,43.49034118652344,24.422401428222656,25.695613861083984,37.447723388671875,39.97504806518555,31.721452713012695,30.554641723632812,34.712955474853516,34.6540641784668,31.940919876098633,50.3099250793457,36.03239822387695,48.63694763183594,43.99993896484375,28.67584228515625","0","0","0"
"2","20","beam","1","15","Answer the question: who wore number 7 for the green bay packers?","20","93","The Green Bay Packers are one of the oldest professional football teams in the United States. The team","Don Majkowski,Don Majkowski,Quarterback Don Majkowski,Quarterback Don Majkowski,Don Majkowski","26.404815673828125,14.712760925292969,50.843509674072266,54.910430908203125,53.690032958984375,36.70476150512695,40.377838134765625,47.1211051940918,48.707603454589844,42.45960235595703,32.92136001586914,40.2706298828125,52.09822082519531,50.847232818603516,47.012451171875,52.36171340942383,59.50807189941406,48.55801010131836,40.745052337646484,52.342506408691406","0","0","0"
"3","20","beam","1","15","Answer the question: where does patience is a virtue come from?","20","74","| | | | | | | | | | | | | | | | | | |","`` Psychomachia , ''","26.07831573486328,22.858203887939453,15.08479118347168,21.419536590576172,23.831947326660156,21.709941864013672,20.48961639404297,28.37869644165039,24.61443519592285,22.21799087524414,27.736068725585938,33.15970993041992,35.51068878173828,39.548439025878906,43.17897033691406,45.06737518310547,45.41873550415039,46.39787292480469,45.17947769165039,45.23133087158203","0","0","0"
"4","20","beam","1","15","Answer the question: who wrote ain't living long like this?","20","38","Ain't Living Long Like This (song)
Ain't Living Long Like This (","Rodney Crowell","19.0255184173584,17.8231201171875,26.078205108642578,35.36418151855469,47.855770111083984,52.571773529052734,52.77095031738281,45.439613342285156,24.73993492126465,19.209789276123047,26.20292854309082,26.33255386352539,19.833532333374023,30.57474708557129,38.448211669921875,47.15528869628906,46.75901412963867,50.07891082763672,40.06792068481445,20.10614013671875","0","0","0"
"5","20","beam","1","15","Answer the question: who played the mom on what's eating gilbert grape?","20","25"," Darlene Cates. Retrieved March 28, 2017. ^ a b c "" Rita","Darlene Cates,Darlene Cates,Darlene Cates","14.655253410339355,15.274948120117188,38.874324798583984,27.077905654907227,50.30974578857422,39.533016204833984,16.979829788208008,32.56399917602539,26.996234893798828,36.7227668762207,55.002403259277344,42.78490447998047,46.926876068115234,25.639841079711914,24.609079360961914,28.7657413482666,26.643728256225586,36.82395935058594,29.213571548461914,37.05695343017578","0.020044994979069072","0.3333333333333333","0"
"6","20","beam","1","15","Answer the question: where do secondary xylem and phloem cells arise from?","20","92","The vascular cambium is a layer of cells in the stem of trees and other plants.","The vascular cambium,the vascular cambium,the vascular cambium,the vascular cambium","31.9132022857666,21.15601348876953,36.180572509765625,33.78428268432617,29.849809646606445,34.498138427734375,32.20644760131836,19.91756820678711,40.10829162597656,16.463563919067383,32.24919509887695,20.759239196777344,20.8463077545166,29.71768569946289,21.320154190063477,42.44129943847656,19.708744049072266,21.222734451293945,43.74280548095703","0.08441569539289243","0.3157894736842105","0"
"7","20","beam","1","15","Answer the question: who added a press room to the white house?","20","52","The James S.","President Richard Nixon,President Richard Nixon,Richard Nixon,Richard Nixon,President Richard Nixon","18.727872848510742,13.293737411499023,47.6139030456543,51.963653564453125,37.398223876953125","0","0","0"
"8","20","beam","1","15","Answer the question: nodding your head no is an example of?","20","91","
A: nonverbal communication

A gesture of nodding the head in agreement is a","a gesture","22.666400909423828,15.56493091583252,21.53632354736328,38.19635772705078,33.14984130859375,30.71746063232422,27.57684326171875,44.20932388305664,42.50006866455078,24.019418716430664,19.501577377319336,38.17096710205078,37.255367279052734,49.700897216796875,31.26990509033203,40.437828063964844,33.01249313354492,35.6673469543457,46.626243591308594,45.90452575683594","0.022267157315461233","0.2666666666666667","0"
"9","20","beam","1","15","Answer the question: who sings the theme tune to mum on bbc2?","20","33"," Retrieved 2016-07-08. External links
Mum on IMDb Mum on","Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades,Lulu and the Lampshades","18.653728485107422,34.97853469848633,25.37808609008789,39.08164978027344,23.194927215576172,45.4327507019043,26.09633445739746,55.20680236816406,40.2347297668457,30.298938751220703,30.769821166992188,25.723285675048828,21.197872161865234,39.94717788696289,29.16639518737793,32.1300163269043,30.25031280517578,41.894744873046875,35.58323669433594,28.379776000976562","0","0","0"
