"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","predicted","gold","logits","bleu","rouge","correct"
"rag","240","15","1","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: Why did Ronnie and Mom go to the Davis house after being kicked out? 1) They needed to hide from the authorities 2) They new that they would be able to read at the Davis house 3) Mr. Davis had offered Ronnie a place to stay whenever 4) Mr. Davis and his son had been evicted and the house was empty. Answer: ","498","240_14,240_33,240_21,240_13,240_19","0.22155016660690308,0.25078582763671875,0.2566777467727661,0.26149845123291016,0.264582097530365","1) They needed to hide from the authorities.","2","18.979290008544922,28.145870208740234,50.63323974609375,45.54192352294922,41.77876663208008,52.852813720703125,38.510833740234375,43.44910430908203,54.653770446777344,39.13580322265625,50.503387451171875","0","0","0"
"rag","93","15","1","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What is the author’s thesis? 1) That even Keynesian economists are misinterpreting some of the intentions of Keynes’ original theories 2) There are so many unknowns in Keynes’ theories that it has come time to develop a new set of economic theories separate from his 3) Keynesian economists are more united than divided 4) It’s not possible to know what Keynes’ true intentions were. Answer: ","538","93_9,93_22,93_7,93_24,93_19","0.16387683153152466,0.1712174415588379,0.1818341612815857,0.18194890022277832,0.18325138092041016","1) That even Keynesian economists are misinterpreting some","1","13.792302131652832,18.578638076782227,43.6300048828125,45.78717041015625,57.320377349853516,47.88544464111328,24.184823989868164,24.785348892211914,36.72588348388672,42.537620544433594,43.80622863769531,30.373470306396484,28.982309341430664,32.255496978759766,40.09394836425781","0","0.2222222222222222","0"
"rag","296","15","1","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What does the author credit the recent dramatic change in politics to?  1) The internet as a political tool 2) Geopolitical tension 3) Government dysfunction 4) The Democratic Party. Answer: ","442","296_12,296_19,296_42,296_1,296_26","0.19000530242919922,0.19802606105804443,0.2020249366760254,0.21001660823822021,0.21133297681808472","The author credits the recent dramatic change in politics to the internet as a","1","15.984582901000977,24.676067352294922,52.1819953918457,57.19550323486328,53.34973907470703,51.47480392456055,50.684486389160156,48.53239059448242,61.25408172607422,52.904701232910156,54.0838737487793,38.99698257446289,45.0851936340332,48.27348327636719,47.582489013671875","0","0","0"
"rag","155","15","1","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What is the author's overall feeling towards modern dentistry as a whole in this passage? 1) Apathetic; the author reports the developments in the dental industry in an unbiased manor 2) Negative; the author believes that all of the advancements of modern dentistry are an unnecessary scam  3) Positive; the author implies that modern dentistry has only improved the dental hygiene of the public 4) Mixed; the author acknowledges both positives and negative aspects of modern dentistry. Answer: ","554","155_32,155_10,155_30,155_22,155_21","0.1526026725769043,0.19161278009414673,0.19546222686767578,0.21087944507598877,0.21608781814575195","3) Positive; the author implies that modern dentistry has only improved","4","17.0792179107666,20.745943069458008,35.53731918334961,50.46232223510742,45.70962905883789,46.27255630493164,42.48360824584961,31.953330993652344,47.61726760864258,39.959495544433594,34.194828033447266,31.057085037231445,42.13553237915039,42.857303619384766,36.33037567138672","0","0","0"
"rag","102","15","1","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What level of depth does the author provide on the subjects they use to make their case? 1) Language is really the only thing covered in any depth 2) A broad, but not very deep assessment 3) They provide the reader with deeper arguments about the monetary system and striking tendencies than anything else 4) They provide deep, explanatory statistics to most arguments. Answer: ","531","102_4,102_27,102_23,102_15,102_2","0.2671657204627991,0.29035043716430664,0.29287469387054443,0.30351096391677856,0.3053032159805298","4) They provide deep, explanatory statistics to most arguments.","2","14.996850967407227,24.04303741455078,43.85359573364258,51.758216857910156,51.61414337158203,52.095027923583984,48.01911544799805,27.33365821838379,45.747867584228516,51.46433639526367,40.42760467529297,41.32664489746094,58.17755126953125","0","0","0"
"rag","209","15","1","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: Why was a Dr. able to examine Parks without being suspicious? 1) The Dr. was not trained very well 2) Parks used a special technique to confuse and manipulate the Dr. 3) The anatomy of the beings on Parks' planet was almost identical to humans 4) Parks had too strong of a disguise. Answer: ","519","209_23,209_20,209_21,209_34,209_30","0.22046107053756714,0.2329576015472412,0.2501770257949829,0.2555451989173889,0.2636348605155945","1) The Dr.","3","16.68027114868164,28.646007537841797,46.75648880004883,40.17932891845703,46.51406478881836,56.977027893066406","0","0","0"
"rag","135","15","1","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What role does technology play in Tannen’s views? 1) It allows the facts to surface and be shared 2) It allows the public to communicate clearly and carefully with each other 3) It can spread misinformation, and enable ready critiquing of each other 4) It supports the first amendment of which there is no criticism. Answer: ","535","135_17,135_27,135_5,135_11,135_25","0.15336978435516357,0.18197107315063477,0.18284106254577637,0.18436717987060547,0.1854093074798584","1) It allows the facts to surface and be shared 
2","3","12.625406265258789,19.08098030090332,40.59313201904297,45.556095123291016,57.989253997802734,56.857669830322266,49.55365753173828,51.637359619140625,44.395050048828125,55.521339416503906,49.98735046386719,49.45661544799805,52.25958251953125,19.480148315429688,33.02692794799805","0","0","0"
"rag","272","15","1","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What does the author think that social media has the power to amplify? 1) Both Positive and Negative Social Behaviors 2) Negative Social Interactions 3) Antisocial Behaviors 4) Positive Altruistic Behavior. Answer: ","506","272_12,272_2,272_13,272_3,272_18","0.1844976544380188,0.1961379051208496,0.203338623046875,0.2098987102508545,0.22544807195663452","1) Both Positive and Negative Social Behaviors.","1","16.236900329589844,30.697490692138672,53.41455841064453,61.61377716064453,68.01847839355469,60.60595703125,56.931114196777344,51.6704216003418,45.975101470947266,31.39752197265625,30.25977325439453,50.49943542480469","0","0.25","0"
"rag","125","15","1","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What does the author suggest are some traits Said possesses? 1) Boldness, confidence 2) Vanity, disorganization 3) Inventiveness, shyness 4) Charisma, people-pleasing. Answer: ","436","125_35,125_29,125_12,125_23,125_30","0.270266056060791,0.2765352129936218,0.2773236036300659,0.2956799864768982,0.30261003971099854","1) Boldness, confidence
2) Vanity, disorganization","1","12.95477294921875,20.62984848022461,43.225257873535156,47.87569808959961,45.14630126953125,50.96254348754883,50.89363098144531,45.104042053222656,26.135347366333008,38.78430938720703,59.60880661010742,36.890472412109375,48.072391510009766,50.569950103759766,27.7347412109375","0","0.2857142857142857","0"
"rag","325","15","1","5","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What is a message of this article? 1) Technology will continue to change 2) It is important to understand the history of trains 3) Birmingham is a progressive city 4) Maglev was a failure. Answer: ","531","325_16,325_17,325_38,325_20,325_19","0.1879711151123047,0.21861696243286133,0.21961599588394165,0.24300479888916016,0.24452131986618042","1) Technology will continue to change 2) It is important to understand","1","13.542655944824219,14.724923133850098,30.72025489807129,43.84446716308594,36.169189453125,39.905662536621094,36.77566909790039,38.78212356567383,40.9815788269043,30.62740707397461,57.004638671875,43.272010803222656,41.1013069152832,38.96287155151367,36.38943099975586","0","0.15384615384615385","0"
