"experiment","id","max_length","n_retrieval_docs","top_k","generation_method","embedding_id","userprompt","n_tokens","docs_ids","similarities","predicted","gold","logits","bleu","rouge","correct"
"rag","240","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: Why did Ronnie and Mom go to the Davis house after being kicked out? 1) They needed to hide from the authorities 2) They new that they would be able to read at the Davis house 3) Mr. Davis had offered Ronnie a place to stay whenever 4) Mr. Davis and his son had been evicted and the house was empty. Answer: ","937","240_14,240_33,240_13,240_19,240_38,240_49,240_32,240_12,240_28,240_46","0.22155016660690308,0.25078582763671875,0.26149845123291016,0.264582097530365,0.27011388540267944,0.2706397771835327,0.2742493152618408,0.2745276093482971,0.27454930543899536,0.2821412682533264","2) They new that they would be able to read at the Davis","2","16.78969955444336,22.02793312072754,31.514856338500977,39.203189849853516,46.70938491821289,42.46609878540039,49.26514434814453,50.1099853515625,41.72610092163086,50.96269607543945,48.88125228881836,47.67046356201172,46.66871643066406,52.595333099365234,51.937583923339844","0","0.14285714285714288","0"
"rag","93","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What is the author’s thesis? 1) That even Keynesian economists are misinterpreting some of the intentions of Keynes’ original theories 2) There are so many unknowns in Keynes’ theories that it has come time to develop a new set of economic theories separate from his 3) Keynesian economists are more united than divided 4) It’s not possible to know what Keynes’ true intentions were. Answer: ","950","93_9,93_22,93_7,93_24,93_19,93_27,93_14,93_11,93_2,93_15","0.16387683153152466,0.1712174415588379,0.1818341612815857,0.18194890022277832,0.18325138092041016,0.19766920804977417,0.20073097944259644,0.20667314529418945,0.20777523517608643,0.2095138430595398","1) That even Keynesian economists are misinterpreting some","1","12.965816497802734,14.506233215332031,27.329118728637695,35.3073844909668,53.70410919189453,41.98263931274414,25.26682472229004,24.550365447998047,33.17169189453125,37.45892333984375,40.16032409667969,28.427568435668945,26.991464614868164,32.425472259521484,39.07264709472656","0","0.2222222222222222","0"
"rag","296","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What does the author credit the recent dramatic change in politics to?  1) The internet as a political tool 2) Geopolitical tension 3) Government dysfunction 4) The Democratic Party. Answer: ","873","296_12,296_19,296_42,296_1,296_26,296_14,296_32,296_36,296_5,296_29","0.19000530242919922,0.19802606105804443,0.2020249366760254,0.21001660823822021,0.21133297681808472,0.2125089168548584,0.21724152565002441,0.21734470129013062,0.21744859218597412,0.22031784057617188","1) The internet as a political tool.","1","14.820616722106934,15.627154350280762,35.9397087097168,50.347591400146484,49.228797912597656,50.157508850097656,53.67582702636719,44.97273635864258,42.0233268737793,48.70454406738281","0","0.25","0"
"rag","155","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What is the author's overall feeling towards modern dentistry as a whole in this passage? 1) Apathetic; the author reports the developments in the dental industry in an unbiased manor 2) Negative; the author believes that all of the advancements of modern dentistry are an unnecessary scam  3) Positive; the author implies that modern dentistry has only improved the dental hygiene of the public 4) Mixed; the author acknowledges both positives and negative aspects of modern dentistry. Answer: ","955","155_32,155_10,155_30,155_22,155_21,155_16,155_24,155_18,155_13,155_27","0.1526026725769043,0.19161278009414673,0.19546222686767578,0.21087944507598877,0.21608781814575195,0.21958160400390625,0.22253090143203735,0.22540593147277832,0.22582459449768066,0.22997534275054932","3) Positive; the author implies that modern dentistry has only improved","4","16.994468688964844,20.018701553344727,36.71961212158203,55.59885025024414,44.021820068359375,45.752288818359375,40.963523864746094,34.60898208618164,47.74715042114258,41.130550384521484,37.19806671142578,30.460994720458984,43.09064483642578,46.168739318847656,38.49403762817383","0","0","0"
"rag","102","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What level of depth does the author provide on the subjects they use to make their case? 1) Language is really the only thing covered in any depth 2) A broad, but not very deep assessment 3) They provide the reader with deeper arguments about the monetary system and striking tendencies than anything else 4) They provide deep, explanatory statistics to most arguments. Answer: ","970","102_4,102_27,102_23,102_15,102_2,102_19,102_10,102_18,102_6,102_31","0.2671657204627991,0.29035043716430664,0.29287469387054443,0.30351096391677856,0.3053032159805298,0.30839550495147705,0.30902302265167236,0.3168793320655823,0.3230723738670349,0.32549113035202026","4) They provide the reader with deeper arguments about the monetary system and","2","14.205098152160645,20.74040412902832,41.76805114746094,51.400596618652344,52.17768096923828,53.965972900390625,62.06013488769531,54.885162353515625,43.10388946533203,42.82509231567383,53.96452331542969,51.36325454711914,31.87094497680664,39.86677551269531,52.13093948364258","0","0","0"
"rag","209","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: Why was a Dr. able to examine Parks without being suspicious? 1) The Dr. was not trained very well 2) Parks used a special technique to confuse and manipulate the Dr. 3) The anatomy of the beings on Parks' planet was almost identical to humans 4) Parks had too strong of a disguise. Answer: ","963","209_23,209_20,209_21,209_34,209_30,209_18,209_13,209_12,209_14,209_15","0.22046107053756714,0.2329576015472412,0.2501770257949829,0.2555451989173889,0.2636348605155945,0.2682788372039795,0.26928091049194336,0.2752882242202759,0.2756531238555908,0.278148889541626","1) The Dr.","3","18.008159637451172,28.839563369750977,47.64585876464844,37.89292526245117,49.701969146728516,57.28612518310547","0","0","0"
"rag","135","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What role does technology play in Tannen’s views? 1) It allows the facts to surface and be shared 2) It allows the public to communicate clearly and carefully with each other 3) It can spread misinformation, and enable ready critiquing of each other 4) It supports the first amendment of which there is no criticism. Answer: ","882","135_17,135_27,135_5,135_11,135_25,135_34,135_3,135_18,135_2,135_31","0.15336978435516357,0.18197107315063477,0.18284106254577637,0.18436717987060547,0.1854093074798584,0.2017722725868225,0.20903515815734863,0.209602952003479,0.20979982614517212,0.21133571863174438","1) 
2) 
3) 
4)","3","11.706290245056152,13.269733428955078,26.907711029052734,42.351722717285156,20.072647094726562,18.04901695251465,37.24909210205078,53.705101013183594,22.07444190979004,29.055097579956055,28.70417022705078,53.620811462402344,24.20279312133789,27.087535858154297,23.611865997314453","0","0.4","0"
"rag","272","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What does the author think that social media has the power to amplify? 1) Both Positive and Negative Social Behaviors 2) Negative Social Interactions 3) Antisocial Behaviors 4) Positive Altruistic Behavior. Answer: ","957","272_12,272_2,272_13,272_3,272_18,272_1,272_14,272_35,272_5,272_11","0.1844976544380188,0.1961379051208496,0.203338623046875,0.2098987102508545,0.22544807195663452,0.22545111179351807,0.2260420322418213,0.22738313674926758,0.22761166095733643,0.23277854919433594","The author thinks that social media has the power to amplify both positive and","1","15.309732437133789,26.73249053955078,48.85993194580078,51.92953109741211,61.66313934326172,63.18938064575195,47.992530822753906,48.21305465698242,46.94847869873047,43.84716033935547,51.76598358154297,48.255149841308594,49.8387565612793,63.8275032043457,60.001556396484375","0","0","0"
"rag","125","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What does the author suggest are some traits Said possesses? 1) Boldness, confidence 2) Vanity, disorganization 3) Inventiveness, shyness 4) Charisma, people-pleasing. Answer: ","919","125_35,125_29,125_12,125_23,125_30,125_31,125_10,125_28,125_8,125_25","0.270266056060791,0.2765352129936218,0.2773236036300659,0.2956799864768982,0.30261003971099854,0.3055605888366699,0.30572956800460815,0.30952244997024536,0.31271713972091675,0.31489455699920654","1) Boldness, confidence
2) Vanity, disorganization","1","12.40310287475586,18.85247802734375,42.08100891113281,53.760040283203125,45.064090728759766,51.49708557128906,51.982173919677734,41.615325927734375,21.169023513793945,37.7977409362793,60.111961364746094,37.45301818847656,45.41804885864258,51.16413497924805,27.909072875976562","0","0.2857142857142857","0"
"rag","325","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What is a message of this article? 1) Technology will continue to change 2) It is important to understand the history of trains 3) Birmingham is a progressive city 4) Maglev was a failure. Answer: ","1007","325_16,325_17,325_38,325_20,325_19,325_32,325_22,325_4,325_12,325_36","0.1879711151123047,0.21861696243286133,0.21961599588394165,0.24300479888916016,0.24452131986618042,0.2510926127433777,0.2520630955696106,0.2593876123428345,0.2604343295097351,0.2605254054069519","1) Technology will continue to change 2) It is important to understand","1","15.055797576904297,15.629239082336426,37.81328201293945,47.8921012878418,39.71324920654297,43.32668685913086,36.1623649597168,38.2851448059082,41.023765563964844,30.149303436279297,56.722591400146484,43.64933395385742,42.74243927001953,37.962650299072266,35.476009368896484","0","0.15384615384615385","0"
"rag","255","15","1","10","beam","sentence-transformers/facebook-dpr-ctx_encoder-single-nq-base",". Question: What caused Skippy to start hearing different voices? 1) Using his telepathy too much 2) Being hit in the head by Henry 3) Spending too much on his own 4) Getting over excited by winning too much money. Answer: ","946","255_43,255_41,255_42,255_26,255_9,255_39,255_37,255_38,255_35,255_40","0.24613678455352783,0.24638217687606812,0.27291375398635864,0.28652071952819824,0.2917635440826416,0.2980499863624573,0.3008134365081787,0.30280745029449463,0.3056924343109131,0.3095526695251465","1)



The answer is 1) Using his telepathy too","2","17.47550392150879,22.65122413635254,47.62627410888672,40.25560760498047,38.78887176513672,12.109132766723633,39.34687423706055,42.014461517333984,34.58811950683594,54.272613525390625,42.72378158569336,62.74861526489258,38.612464904785156,28.598440170288086,48.163787841796875","0","0","0"
